#  aims_uuid : F705CE7E-79D0-4465-A436-4BB4AF1404C5                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.39209553        0.00295465        0.07476343        0.30421045        0.01016699
       -9.99000000        0.65464738        0.00669790        0.11587020        0.51722961        0.01484967
       -9.98000000        0.39108029        0.00311845        0.05739032        0.32235538        0.00821614
       -9.97000000        0.25976194        0.00195373        0.03128272        0.22109558        0.00542992
       -9.96000000        0.13148325        0.00165583        0.01506563        0.11138269        0.00337910
       -9.95000000        0.44454877        0.00291909        0.04909807        0.38032432        0.01220729
       -9.94000000        0.49825988        0.00337433        0.05234645        0.42758761        0.01495149
       -9.93000000        0.40979077        0.00520127        0.05658954        0.33422029        0.01377968
       -9.92000000        0.40452511        0.00703900        0.06377516        0.32095681        0.01275413
       -9.91000000        0.29443282        0.00641025        0.05289038        0.22489296        0.01023923
       -9.90000000        0.21383895        0.00487969        0.03850546        0.16305054        0.00740327
       -9.89000000        0.27116672        0.00239443        0.03438004        0.22639622        0.00799603
       -9.88000000        0.48160343        0.00355821        0.05554028        0.40815079        0.01435414
       -9.87000000        0.71377965        0.00416809        0.07162792        0.61745729        0.02052634
       -9.86000000        1.07487601        0.00611398        0.11164033        0.92752633        0.02959537
       -9.85000000        0.73041271        0.00608993        0.08082148        0.62413945        0.01936185
       -9.84000000        0.69730928        0.00732587        0.09913552        0.57182356        0.01902434
       -9.83000000        0.55211110        0.00781785        0.07739409        0.45287114        0.01402802
       -9.82000000        1.22583251        0.02017004        0.19090269        0.98899799        0.02576179
       -9.81000000        0.43397594        0.00817151        0.07303335        0.34016192        0.01260917
       -9.80000000        0.41558998        0.00690303        0.07669826        0.31925993        0.01272876
       -9.79000000        0.54092883        0.00660192        0.07151358        0.44783996        0.01497338
       -9.78000000        0.51789922        0.00600861        0.06238534        0.43669639        0.01280888
       -9.77000000        0.41644258        0.00595918        0.05215915        0.34627739        0.01204686
       -9.76000000        0.52650584        0.00818470        0.06581520        0.43520493        0.01730101
       -9.75000000        0.38862479        0.00666055        0.05160904        0.31739377        0.01296143
       -9.74000000        0.38328513        0.00595463        0.04426550        0.31926390        0.01380111
       -9.73000000        0.36721156        0.00596014        0.04004788        0.30855764        0.01264590
       -9.72000000        0.54071308        0.00893573        0.05370329        0.46037216        0.01770189
       -9.71000000        0.73052145        0.01094150        0.06738906        0.63006545        0.02212544
       -9.70000000        0.77172557        0.01153340        0.06815632        0.66174847        0.03028738
       -9.69000000        0.85602448        0.00634670        0.05753639        0.76654841        0.02559297
       -9.68000000        0.63465706        0.00520002        0.05165134        0.55871492        0.01909078
       -9.67000000        0.46794824        0.00426378        0.03886737        0.41123969        0.01357740
       -9.66000000        0.54191587        0.00472781        0.04275193        0.48018933        0.01424680
       -9.65000000        0.77892310        0.00723713        0.05891953        0.69419090        0.01857555
       -9.64000000        0.79252678        0.00706726        0.05419738        0.71431519        0.01694695
       -9.63000000        0.62747604        0.00335430        0.04364772        0.56826715        0.01220688
       -9.62000000        0.82140011        0.00536744        0.05834820        0.74209945        0.01558501
       -9.61000000        0.86286969        0.00860490        0.05771942        0.78149529        0.01505008
       -9.60000000        0.46574147        0.00353003        0.02393942        0.42901270        0.00925931
       -9.59000000        0.59368886        0.00388422        0.03825585        0.53841477        0.01313402
       -9.58000000        0.67849469        0.00906465        0.04872595        0.60694421        0.01375988
       -9.57000000        0.45003691        0.00437937        0.04656460        0.38824808        0.01084485
       -9.56000000        0.65927010        0.00620594        0.06944030        0.56775276        0.01587110
       -9.55000000        0.42012951        0.00453906        0.05047733        0.35516078        0.00995234
       -9.54000000        0.70804102        0.00880830        0.13598497        0.54553097        0.01771679
       -9.53000000        0.19107651        0.00626106        0.02793531        0.15203335        0.00484680
       -9.52000000        0.33256749        0.00805801        0.03790373        0.27778112        0.00882463
       -9.51000000        0.43823924        0.00950043        0.06032557        0.35594619        0.01246705
       -9.50000000        0.71458336        0.01384021        0.09964147        0.58159282        0.01950886
       -9.49000000        0.66865311        0.01013124        0.07736421        0.56281723        0.01834043
       -9.48000000        0.69874023        0.00841789        0.07289124        0.59909518        0.01833593
       -9.47000000        0.81643210        0.00942815        0.07891581        0.70700837        0.02107977
       -9.46000000        0.88683770        0.01185045        0.08971080        0.75992057        0.02535587
       -9.45000000        0.67227378        0.00836306        0.06708034        0.57668519        0.02014519
       -9.44000000        0.50432113        0.00531635        0.04519622        0.43813773        0.01567083
       -9.43000000        0.47614496        0.00393586        0.03982472        0.41785420        0.01453018
       -9.42000000        0.90460268        0.01468388        0.12734916        0.72868011        0.03388954
       -9.41000000        0.44212278        0.00548510        0.05243922        0.36775587        0.01644259
       -9.40000000        0.23964124        0.00290879        0.02577994        0.20136184        0.00959068
