  95.94000     0.0177     0.9697     2.6726Mo
  78.96000     1.6813     1.8918     4.3579Se
  78.96000     1.6998     1.9614     1.0291Se
  95.94000    -1.6279     3.8651     2.6891Mo
  78.96000     0.0302     4.9043     4.3425Se
  78.96000     0.0795     4.8659     1.0715Se
  95.94000    -3.3665     6.7143     2.6626Mo
  78.96000    -1.7632     7.7635     4.3344Se
  78.96000    -1.7506     7.7073     0.9718Se
  95.94000    -4.9781     9.5832     2.6581Mo
  78.96000    -3.2556    10.5570     4.2996Se
  78.96000    -3.3346    10.5300     0.9598Se
  95.94000    -6.6311    12.4567     2.6642Mo
  78.96000    -4.9446    13.3909     4.3192Se
  78.96000    -4.9769    13.4255     0.9964Se
  95.94000     3.3451     0.9514     2.6821Mo
  78.96000     5.0099     1.8843     4.3592Se
  78.96000     5.0193     1.8709     1.0109Se
  95.94000     1.7232     3.8402     2.7468Mo
  78.96000     3.3132     4.8488     4.3121Se
  78.96000     3.4656     4.8975     1.1665Se
  95.94000    -0.1181     6.8671     2.6713Mo
  78.96000     1.2199     8.1538     4.5126Se
  78.96000     1.6260     7.7159     1.2129Se
  95.94000    -1.6400     9.6333     2.5890Mo
  78.96000    -0.0487    10.5195     0.8447Se
  95.94000    -3.2896    12.4429     2.6271Mo
  78.96000    -1.5897    13.2992     4.2905Se
  78.96000    -1.6356    13.4130     0.9515Se
  95.94000     6.6718     0.9125     2.6782Mo
  78.96000     8.3301     1.8695     4.3475Se
  78.96000     8.3223     1.8844     1.0172Se
  95.94000     5.0595     3.7818     2.6617Mo
  78.96000     6.6744     4.7587     4.3618Se
  78.96000     6.6906     4.7616     0.9991Se
  78.96000     4.8849     7.4975     4.1211Se
  78.96000     5.0067     7.6758     0.9640Se
  95.94000     1.4349     9.7344     2.7139Mo
  78.96000     3.2945    10.4814     4.2835Se
  78.96000     3.2623    10.4721     1.0073Se
  95.94000    -0.0009    12.3576     2.5550Mo
  78.96000     1.6172    13.2853     4.2939Se
  78.96000     1.6513    13.3959     0.9558Se
  95.94000     9.9697     0.9067     2.6693Mo
  78.96000    11.6293     1.8793     4.3377Se
  78.96000    11.6323     1.8952     1.0135Se
  95.94000     8.3299     3.8006     2.6831Mo
  78.96000     9.9849     4.7792     4.3391Se
  78.96000     9.9839     4.7629     1.0100Se
  95.94000     6.7021     6.6591     2.6905Mo
  78.96000     8.3264     7.6650     4.3368Se
  78.96000     8.2929     7.6533     0.9854Se
  95.94000     5.0187     9.5417     2.5939Mo
  78.96000     6.6236    10.5045     4.3158Se
  78.96000     6.6717    10.5533     0.9740Se
  95.94000     3.3015    12.4235     2.6309Mo
  78.96000     4.9591    13.3865     4.3166Se
  78.96000     4.9874    13.4069     0.9975Se
  95.94000    13.2984     0.9479     2.6718Mo
  78.96000    14.9593     1.9294     4.3369Se
  78.96000    14.9632     1.9439     1.0174Se
  95.94000    11.6432     3.8151     2.6785Mo
  78.96000    13.2941     4.7998     4.3442Se
  78.96000    13.3039     4.7805     1.0106Se
  95.94000     9.9616     6.6969     2.6612Mo
  78.96000    11.5943     7.6757     4.3369Se
  78.96000    11.5929     7.6659     0.9886Se
  95.94000     8.3032     9.5754     2.6557Mo
  78.96000     9.9675    10.5411     4.3269Se
  78.96000     9.9616    10.5427     0.9950Se
  95.94000     6.6431    12.4474     2.6647Mo
  78.96000     8.3040    13.4133     4.3284Se
  78.96000     8.3078    13.4294     1.0068Se
