           x                   y 
        -10.00000000         59.87599476
         -9.97995992        136.27828273
         -9.95991984         75.41227225
         -9.93987976         50.38755570
         -9.91983968         36.44871182
         -9.89979960         31.52380724
         -9.87975952         23.05251372
         -9.85971944          4.74114243
         -9.83967936         40.32808919
         -9.81963928         34.94209933
         -9.79959920         26.43603282
         -9.77955912          7.65514068
         -9.75951904          3.87010467
         -9.73947896         26.37321419
         -9.71943888         40.82984127
         -9.69939880         44.32262565
         -9.67935872         28.18374471
         -9.65931864          6.35035536
         -9.63927856         11.07849667
         -9.61923848         23.58983565
         -9.59919840          2.72786133
         -9.57915832          9.29755886
         -9.55911824         24.75543469
         -9.53907816         13.72420497
         -9.51903808         40.30761863
         -9.49899800         22.86081199
         -9.47895792          1.19753913
         -9.45891784          1.14661248
         -9.43887776         19.53786688
         -9.41883768         16.13098191
         -9.39879760          1.23582647
         -9.37875752         12.38080596
         -9.35871743         39.66051812
         -9.33867735         57.96129662
         -9.31863727         19.84141571
         -9.29859719          1.41667581
         -9.27855711         12.96551054
         -9.25851703         24.42600277
         -9.23847695         49.58072519
         -9.21843687        131.47975331
         -9.19839679        238.28897453
         -9.17835671        228.11365417
         -9.15831663        183.31651478
         -9.13827655        164.42741365
         -9.11823647        127.41370997
         -9.09819639        161.46278428
         -9.07815631        228.13557679
         -9.05811623        181.49796629
         -9.03807615         93.26634318
         -9.01803607         17.21075159
         -8.99799599         86.61834906
         -8.97795591         85.11434601
         -8.95791583         41.68850230
         -8.93787575         67.76024087
         -8.91783567         92.86430652
         -8.89779559         82.14705091
         -8.87775551         21.31466988
         -8.85771543          0.35731090
         -8.83767535          0.01757694
         -8.81763527          4.03723072
         -8.79759519         48.99925153
         -8.77755511         51.36508234
         -8.75751503         24.71547835
         -8.73747495         31.72391853
         -8.71743487         58.97970661
         -8.69739479         37.36653023
         -8.67735471         35.11805214
         -8.65731463          7.00751093
         -8.63727455          0.07400008
         -8.61723447          1.23150588
         -8.59719439         12.04947880
         -8.57715431         30.47468764
         -8.55711423         79.33886867
         -8.53707415         72.93583697
         -8.51703407        147.18615435
         -8.49699399         67.24851686
         -8.47695391         49.28444618
         -8.45691383        132.90427344
         -8.43687375        170.20889437
         -8.41683367         98.88695190
         -8.39679359         51.02451576
         -8.37675351         59.45445844
         -8.35671343        108.08747005
         -8.33667335        134.81104257
         -8.31663327         99.25124459
         -8.29659319        109.24450991
         -8.27655311         85.33186650
         -8.25651303         61.46260468
         -8.23647295         89.66421666
         -8.21643287         70.50103538
         -8.19639279         60.97866460
         -8.17635271         70.04301815
         -8.15631263        106.34337749
         -8.13627255        176.04403614
         -8.11623246         63.73988726
         -8.09619238         29.68285000
         -8.07615230         75.86170780
         -8.05611222        101.04334584
         -8.03607214         62.03775038
         -8.01603206         14.00288343
         -7.99599198         31.82590729
         -7.97595190         58.46998120
         -7.95591182        113.95132329
         -7.93587174         67.89143428
         -7.91583166         51.48404947
         -7.89579158         11.48073655
         -7.87575150          0.15418264
         -7.85571142          6.49096507
         -7.83567134         48.52512090
         -7.81563126         48.76964080
         -7.79559118         66.58853905
         -7.77555110         31.66310279
         -7.75551102         45.96358297
