              x                 y 
        -15.39623160          0.00697341
        -15.35619156          2.79187062
        -15.31615152         17.17728685
        -15.27611148          2.03631863
        -15.23607144         17.84301143
        -15.19603140         18.82663317
        -15.15599136          0.63353327
        -15.11595132          3.44954343
        -15.07591128         33.84530524
        -15.03587124          5.04009024
        -14.99583120         13.85153528
        -14.95579116          0.02550901
        -14.91575112         13.52922607
        -14.87571108         37.43625801
        -14.83567104          5.21001801
        -14.79563100          2.39269631
        -14.75559096         16.29972084
        -14.71555092          0.20475986
        -14.67551088         26.20769441
        -14.63547084         13.83283013
        -14.59543080         33.93025785
        -14.55539076          0.78830284
        -14.51535072          0.24368158
        -14.47531068         17.79097456
        -14.43527064          8.84139750
        -14.39523060         31.88276573
        -14.35519056         16.15792284
        -14.31515052         17.29843018
        -14.27511048         20.14883983
        -14.23507044          0.02348790
        -14.19503040          0.58072063
        -14.15499036         33.63696370
        -14.11495032         22.16416770
        -14.07491028         31.42434393
        -14.03487024         32.06583448
        -13.99483020         51.55191855
        -13.95479016         39.02766877
        -13.91475012         31.40424856
        -13.87471008         32.19197258
        -13.83467004         77.66175949
        -13.79463000         58.69055041
        -13.75458996         38.48248767
        -13.71454992         62.22520075
        -13.67450988         35.39035820
        -13.63446984         42.66147258
        -13.59442980         74.64279279
        -13.55438976         62.88595430
        -13.51434972         56.42542745
        -13.47430968         94.79305820
        -13.43426964         59.29418711
        -13.39422960         68.34177065
        -13.35418956        101.44461374
        -13.31414952         89.86047639
        -13.27410948        130.84493500
        -13.23406944        110.36194877
        -13.19402940        103.59009386
        -13.15398936         78.25068424
        -13.11394932        214.02718802
        -13.07390928         73.72473081
        -13.03386924         89.94257920
        -12.99382920         74.67334054
        -12.95378916         39.34556650
        -12.91374912          8.13310404
        -12.87370908          0.01100535
        -12.83366904          0.00000000
        -12.79362900          0.00000000
        -12.75358896          0.00000000
        -12.71354892          0.00000000
        -12.67350888          0.00000000
        -12.63346884          0.00000000
        -12.59342880          0.00000000
        -12.55338876          0.00000000
        -12.51334872          0.00000000
        -12.47330868          0.00000000
        -12.43326864          0.00000000
        -12.39322860          0.00000000
        -12.35318856          0.00000000
        -12.31314852          0.00000000
        -12.27310848          0.00000000
        -12.23306844          0.00000000
        -12.19302840          0.00000000
        -12.15298836          0.00000000
        -12.11294832          0.00000000
        -12.07290828          0.00000000
        -12.03286824          0.00000000
        -11.99282820          0.00000000
        -11.95278816          0.00000000
        -11.91274812          0.00000000
        -11.87270808          0.00000000
        -11.83266804          0.00000000
        -11.79262800          0.00000000
        -11.75258796          0.00000000
        -11.71254792          0.00000000
        -11.67250788          0.00000000
        -11.63246784          0.00000000
        -11.59242780          0.00000000
        -11.55238776          0.00000000
        -11.51234772          0.00000000
        -11.47230768          0.00000000
        -11.43226764          0.00000000
        -11.39222760          0.00000000
        -11.35218756          0.00000000
        -11.31214752          0.00000000
        -11.27210748          0.00000000
        -11.23206744          0.00000000
        -11.19202740          0.00000000
        -11.15198736          0.00000000
        -11.11194732          0.00000000
        -11.07190728          0.00000000
        -11.03186724          0.00000000
        -10.99182720          0.00000000
        -10.95178716          0.00000000
        -10.91174712          0.00000000
        -10.87170708          0.00000000
        -10.83166704          0.00000000
        -10.79162700          0.00000000
        -10.75158696          0.00000000
        -10.71154692          0.00000000
        -10.67150688          0.00000000
        -10.63146684          0.00000000
        -10.59142680          0.00000000
        -10.55138676          0.00000000
        -10.51134672          0.00000000
        -10.47130668          0.00000000
        -10.43126664          0.00000000
        -10.39122660          0.00000000
        -10.35118656          0.00000000
        -10.31114652          0.00000000
        -10.27110648          0.00000000
        -10.23106644          0.00000000
        -10.19102640          0.00000000
        -10.15098636          0.00000000
        -10.11094632          0.00000000
        -10.07090628          0.00000000
        -10.03086624          0.00000000
         -9.99082620          0.00000000
         -9.95078616          0.00000000
         -9.91074612          0.00000000
         -9.87070608          0.00000000
         -9.83066604          0.00000000
         -9.79062600          0.00000000
         -9.75058596          0.00000000
         -9.71054592          0.00000000
         -9.67050588          0.00000000
         -9.63046584          0.00000000
         -9.59042580          0.00000000
         -9.55038576          0.00000000
         -9.51034572          0.00000000
         -9.47030568          0.00000000
         -9.43026564          0.00000000
         -9.39022560          0.00000000
         -9.35018556          0.00000000
         -9.31014552          0.00000000
         -9.27010548          0.00000000
         -9.23006544          0.00000000
         -9.19002540          0.00000000
         -9.14998536          0.00000000
         -9.10994532          0.00000000
         -9.06990528          0.00000000
         -9.02986524          0.00000000
         -8.98982520          0.00000000
         -8.94978516          0.00000000
         -8.90974512          0.00000000
         -8.86970508          0.00000000
         -8.82966504          0.00000000
         -8.78962500          0.00000000
         -8.74958496          0.00000000
         -8.70954492          0.00000000
         -8.66950488          0.00000000
         -8.62946484          0.00000000
         -8.58942480          0.00000000
         -8.54938476          0.00000000
         -8.50934472          0.00000000
         -8.46930468          0.00000000
         -8.42926464          0.00000000
         -8.38922460          0.00000000
         -8.34918456          0.00000000
         -8.30914452          0.00000000
         -8.26910448          0.00000000
         -8.22906444          0.00000000
         -8.18902440          0.00000000
         -8.14898436          0.00000000
         -8.10894432          0.00000000
         -8.06890428          0.00000000
         -8.02886424          0.00000000
         -7.98882420          0.00000000
