P     addS     VS      VS2      VS22
6.156406956914493732e-11 2.632474152079989693e+00 1.087977818168244681e+00 1.851613826640832627e+00 2.107056575992192649e+00
2.023089640396318454e-10 2.619658910348984904e+00 1.100793059899249471e+00 1.877244310102842206e+00 2.132687059454202227e+00
5.966220025395083492e-10 2.608009485469406030e+00 1.112442484778828344e+00 1.900543159861999953e+00 2.155985909213359975e+00
1.601454676907233572e-09 2.597373715121388926e+00 1.123078255126845448e+00 1.921814700558034161e+00 2.177257449909394182e+00
3.958886721231605793e-09 2.587624813284232772e+00 1.132827156964001603e+00 1.941312504232346470e+00 2.196755253583706491e+00
9.102652135040223200e-09 2.578656291807160272e+00 1.141795678441074102e+00 1.959249547186491469e+00 2.214692296537851490e+00
1.963051849863181607e-08 2.570378054835341430e+00 1.150073915412892944e+00 1.975806021130129153e+00 2.231248770481489174e+00
3.999066318016120036e-08 2.562713361475939422e+00 1.157738608772294953e+00 1.991135407848933170e+00 2.246578157200293191e+00
7.742839644771296641e-08 2.555596439647811025e+00 1.164855530600423350e+00 2.005369251505189965e+00 2.260812000856549986e+00
1.432328399266896671e-07 2.548970594026936709e+00 1.171481376221297666e+00 2.018620942746938596e+00 2.274063692098298617e+00
2.543118179112361180e-07 2.542786692414406247e+00 1.177665277833828128e+00 2.030988745971999521e+00 2.286431495323359542e+00
4.351082113477293177e-07 2.537001945340048081e+00 1.183450024908186293e+00 2.042558240120715851e+00 2.298000989472075872e+00
7.198537296810094650e-07 2.531578914509477585e+00 1.188873055738756790e+00 2.053404301781856844e+00 2.308847051133216866e+00
1.155138026307371361e-06 2.526484701680342226e+00 1.193967268567892148e+00 2.063592727440127561e+00 2.319035476791487582e+00
1.802753831946176506e-06 2.521690280685756846e+00 1.198761689562477528e+00 2.073181569429298321e+00 2.328624318780658342e+00
2.742763606537241376e-06 2.517169944068623266e+00 1.203282026179611108e+00 2.082222242663565481e+00 2.337664992014925502e+00
4.076721090393740224e-06 2.512900841945988617e+00 1.207551128302245758e+00 2.090760446908834780e+00 2.346203196260194801e+00
5.930972674683101819e-06 2.508862595699351772e+00 1.211589374548882603e+00 2.098836939402108470e+00 2.354279688753468491e+00
8.459958950720790160e-06 2.505036972652046501e+00 1.215414997596187874e+00 2.106488185496719012e+00 2.361930934848079033e+00
1.184943605772374247e-05 2.501407610877972587e+00 1.219044359370261787e+00 2.113746909044866840e+00 2.369189658396226861e+00
1.631953919692315461e-05 2.497959785279558531e+00 1.222492184968675843e+00 2.120642560241694952e+00 2.376085309593054973e+00
2.212761640577761671e-05 2.494680207848173126e+00 1.225771762400061249e+00 2.127201715104465762e+00 2.382644464455825783e+00
2.957076877474371725e-05 2.491556856562706201e+00 1.228895113685528173e+00 2.133448417675399611e+00 2.388891167026759632e+00
3.898804308655517070e-05 2.488578828138738430e+00 1.231873142109495944e+00 2.139404474523335153e+00 2.394847223874695175e+00
5.076223372298570757e-05 2.485736210786594569e+00 1.234715759461639806e+00 2.145089709227622876e+00 2.400532458578982897e+00
6.532126202671230571e-05 2.483019974126104756e+00 1.237431996122129618e+00 2.150522182548602501e+00 2.405964931899962522e+00
8.313911261277261383e-05 2.480421873216723583e+00 1.240030097031510792e+00 2.155718384367364848e+00 2.411161133718724869e+00
1.047363169720782452e-04 2.477934365102296255e+00 1.242517605145938120e+00 2.160693400596219504e+00 2.416136149947579526e+00
1.306799847698676752e-04 2.475550535556717335e+00 1.244901434691517039e+00 2.165461059687377343e+00 2.420903809038737364e+00
1.615833922779966268e-04 2.473264034968192249e+00 1.247187935280042126e+00 2.170034060864427516e+00 2.425476810215787538e+00
1.981051452388377359e-04 2.471069021848702363e+00 1.249382948399532012e+00 2.174424087103407288e+00 2.429866836454767309e+00
2.409479400611511915e-04 2.468960112993695333e+00 1.251491857254539042e+00 2.178641904813421348e+00 2.434084654164781369e+00
2.908569525768914255e-04 2.466932339433437704e+00 1.253519630814796670e+00 2.182697451933936605e+00 2.438140201285296627e+00
3.486178876740503806e-04 2.464981107288362949e+00 1.255470862959871425e+00 2.186599916224086115e+00 2.442042665575446136e+00
4.150547260330996217e-04 2.463102163077305562e+00 1.257349807170928813e+00 2.190357804646200890e+00 2.445800553997560911e+00
4.910272060288259442e-04 2.461291562765577368e+00 1.259160407482657007e+00 2.193979005269657279e+00 2.449421754621017300e+00
5.774280797279555217e-04 2.459545644058120928e+00 1.260906326190113447e+00 2.197470842684570158e+00 2.452913592035930179e+00
6.751801819379523849e-04 2.457861001792220890e+00 1.262590968456013485e+00 2.200840127216370234e+00 2.456282876567730256e+00
7.852333505686255426e-04 2.456234465658521771e+00 1.264217504589712604e+00 2.204093199483768473e+00 2.459535948835128494e+00
9.085612352786712241e-04 2.454663080366767502e+00 1.265788889881466872e+00 2.207235970067277009e+00 2.462678719418637030e+00
1.046158029611126208e-03 2.453144087688738040e+00 1.267307882559496335e+00 2.210273955423335934e+00 2.465716704774695955e+00
1.199035159683808915e-03 2.451674910291071541e+00 1.268777059957162834e+00 2.213212310218668932e+00 2.468655059570028953e+00
