P     addS     VS      VS2      VS22
1.368217960092087560e-03 2.450253137183349139e+00 1.270198833064885235e+00 2.216055856434113736e+00 2.471498605785473757e+00
1.554742365089595291e-03 2.448876510475852086e+00 1.271575459772382288e+00 2.218809109849107841e+00 2.474251859200467862e+00
1.759651640414605124e-03 2.447542913446991264e+00 1.272909056801243111e+00 2.221476303906829486e+00 2.476919053258189507e+00
1.983993178391183637e-03 2.446250359629370763e+00 1.274201610618863612e+00 2.224061411542070488e+00 2.479504160893430509e+00
2.228815376210058208e-03 2.444996983030900850e+00 1.275454987217333525e+00 2.226568164739010314e+00 2.482010914090370335e+00
2.495164614629161171e-03 2.443781029025299034e+00 1.276670941222935340e+00 2.229000072750213945e+00 2.484442822101573967e+00
2.784082351764266810e-03 2.442600846275777116e+00 1.277851123972457259e+00 2.231360438249257783e+00 2.486803187600617804e+00
3.096602344193298811e-03 2.441454879153493351e+00 1.278997091094741023e+00 2.233652372493825311e+00 2.489095121845185332e+00
3.433748005295008711e-03 2.440341660956359959e+00 1.280110309291874415e+00 2.235878808888092095e+00 2.491321558239452116e+00
3.796529908597012608e-03 2.439259807651719569e+00 1.281192162596514805e+00 2.238042515497372875e+00 2.493485264848732896e+00
4.185943441929800175e-03 2.438208012099234878e+00 1.282243958148999496e+00 2.240146106602342257e+00 2.495588855953702279e+00
4.602966616375387364e-03 2.437185038768543421e+00 1.283266931479690953e+00 2.242192053263725171e+00 2.497634802615085192e+00
5.048558032363384407e-03 2.436189718980781294e+00 1.284262251267453081e+00 2.244182692839249427e+00 2.499625442190609448e+00
5.523655003800574149e-03 2.435220946368385597e+00 1.285231023879848777e+00 2.246120238064040819e+00 2.501562987415400841e+00
6.029171839817673573e-03 2.434277672800558179e+00 1.286174297447676196e+00 2.248006785199695656e+00 2.503449534551055677e+00
6.565998282572766374e-03 2.433358904614319584e+00 1.287093065633914790e+00 2.249844321572172845e+00 2.505287070923532866e+00
7.134998098556206633e-03 2.432463699122049405e+00 1.287988271126184969e+00 2.251634732556713203e+00 2.507077481908073224e+00
7.737007819988026003e-03 2.431591161366409182e+00 1.288860808881825193e+00 2.253379808067993650e+00 2.508822557419353672e+00
8.372835632176644713e-03 2.430740441137199781e+00 1.289711529111034594e+00 2.255081248526412452e+00 2.510523997877772473e+00
9.043260402105979603e-03 2.429910730250153250e+00 1.290541239998081124e+00 2.256740670300505514e+00 2.512183419651865535e+00
9.749030843028751517e-03 2.429101259898484244e+00 1.291350710349750130e+00 2.258359611003843526e+00 2.513802360355203547e+00
1.049086480945438278e-02 2.428311298397343165e+00 1.292140671850891209e+00 2.259939534006125683e+00 2.515382283357485704e+00
1.126944871662320311e-02 2.427540148855509727e+00 1.292911821392724647e+00 2.261481833089792559e+00 2.516924582441152580e+00
1.208543707834328074e-02 2.426787147210884399e+00 1.293664823037349976e+00 2.262987836379043216e+00 2.518430585730403237e+00
1.293945215692450697e-02 2.426051660295083678e+00 1.294400309953150696e+00 2.264458810210644657e+00 2.519901559562004678e+00
1.383208371886711363e-02 2.425333084029002606e+00 1.295118886219231769e+00 2.265895962742806802e+00 2.521338712094166823e+00
1.476388888994161278e-02 2.424630841836656003e+00 1.295821128411578371e+00 2.267300447127500007e+00 2.522743196478860028e+00
1.573539210332565441e-02 2.423944383015363968e+00 1.296507587232870407e+00 2.268673364770084078e+00 2.524116114121444099e+00
1.674708513453516956e-02 2.423273181382423758e+00 1.297178788865810617e+00 2.270015768035964498e+00 2.525458517387324520e+00
1.779942721699427979e-02 2.422616733878125928e+00 1.297835236370108447e+00 2.271328663044560159e+00 2.526771412395920180e+00
1.889284523222733644e-02 2.421974559285185791e+00 1.298477410963048584e+00 2.272613012230440432e+00 2.528055761581800454e+00
2.002773396881906559e-02 2.421346197122797861e+00 1.299105773125436514e+00 2.273869736555216292e+00 2.529312485906576313e+00
2.120445644447432540e-02 2.420731206511586464e+00 1.299720763736647910e+00 2.275099717777639086e+00 2.530542467128999107e+00
2.242334428570814595e-02 2.420129165111315928e+00 1.300322805136918447e+00 2.276303800578180159e+00 2.531746549929540180e+00
2.368469815991142147e-02 2.419539668204119920e+00 1.300912302044114455e+00 2.277482794392572174e+00 2.532925543743932195e+00
2.498878825475955509e-02 2.418962327748626961e+00 1.301489642499607413e+00 2.278637475303558091e+00 2.534080224654918112e+00
2.633585480016146022e-02 2.418396771565053172e+00 1.302055198683181203e+00 2.279768587670705671e+00 2.535211337022065692e+00
2.772610862817815811e-02 2.417842642476639270e+00 1.302609327771595105e+00 2.280876845847533474e+00 2.536319595198893495e+00
2.915973176657689347e-02 2.417299597640262476e+00 1.303152372607971898e+00 2.281962935520287061e+00 2.537405684871647082e+00
3.063687806191954868e-02 2.416767307760633088e+00 1.303684662487601287e+00 2.283027515279545838e+00 2.538470264630905859e+00
3.215767382831789811e-02 2.416245456479114040e+00 1.304206513769120335e+00 2.284071217842583934e+00 2.539513967193943955e+00
3.372221851821739780e-02 2.415733739689780890e+00 1.304718230558453484e+00 2.285094651421250234e+00 2.540537400772610255e+00
3.533058541179572715e-02 2.415231865044656701e+00 1.305220105203577674e+00 2.286098400711498613e+00 2.541541150062858634e+00
3.698282232178217582e-02 2.414739551284323937e+00 1.305712418963910437e+00 2.287083028232164139e+00 2.542525777583524160e+00
3.867895231071723922e-02 2.414256527772263183e+00 1.306195442475971191e+00 2.288049075256285647e+00 2.543491824607645668e+00
4.041897441787755535e-02 2.413782534000088020e+00 1.306669436248146354e+00 2.288997062800635973e+00 2.544439812151995994e+00
4.220286439329105910e-02 2.413317319107331826e+00 1.307134651140902548e+00 2.289927492586148361e+00 2.545370241937508382e+00
4.403057543645755995e-02 2.412860641444890319e+00 1.307591328803344055e+00 2.290840847911031375e+00 2.546283597262391396e+00
4.590203893757425352e-02 2.412412268153016015e+00 1.308039702095218360e+00 2.291737594494779984e+00 2.547180343846140005e+00
4.781716521923964208e-02 2.411971974739312685e+00 1.308479995508921689e+00 2.292618181322186643e+00 2.548060930673546665e+00
4.977584427677694823e-02 2.411539544773145138e+00 1.308912425475089236e+00 2.293483041254521737e+00 2.548925790605881758e+00
5.177794651547698579e-02 2.411114769434529848e+00 1.309337200813704527e+00 2.294332591931752319e+00 2.549775341283112340e+00
5.382332348320921500e-02 2.410697447295856222e+00 1.309754522952378153e+00 2.295167236209099570e+00 2.550609985560459592e+00
5.591180859699464156e-02 2.410287383870777234e+00 1.310164586377457141e+00 2.295987363059257547e+00 2.551430112410617568e+00
5.804321786226585705e-02 2.409884391410482607e+00 1.310567578837751768e+00 2.296793347979846800e+00 2.552236097331206821e+00
6.021735058366836646e-02 2.409488288598108596e+00 1.310963681650125778e+00 2.297585553604594821e+00 2.553028302955954842e+00
6.243399006637510157e-02 2.409098900257699682e+00 1.311353069990534692e+00 2.298364330285412649e+00 2.553807079636772670e+00
6.469290430699792260e-02 2.408716057077722184e+00 1.311735913170512191e+00 2.299130016645367647e+00 2.554572765996727668e+00
6.699384667328481258e-02 2.408339595407337441e+00 1.312112374840896933e+00 2.299882939986137131e+00 2.555325689337497153e+00
6.933655657188962651e-02 2.407969357023571177e+00 1.312482613224663197e+00 2.300623416753669659e+00 2.556066166105029680e+00
7.172076010359097753e-02 2.407605188869379020e+00 1.312846781378855354e+00 2.301351753062053973e+00 2.556794502413413994e+00
7.414617070542402211e-02 2.407246942864471606e+00 1.313205027383762769e+00 2.302068245071868802e+00 2.557510994423228823e+00
7.661248977926569947e-02 2.406894475716139681e+00 1.313557494532094694e+00 2.302773179368532652e+00 2.558215928719892673e+00
7.911940730648961417e-02 2.406547648730079203e+00 1.313904321518155172e+00 2.303466833340653608e+00 2.558909582692013629e+00
8.166660244837123384e-02 2.406206327577560700e+00 1.314245642670673675e+00 2.304149475645690615e+00 2.559592224997050636e+00
8.425374413199085422e-02 2.405870382208117775e+00 1.314581588040116600e+00 2.304821366384576464e+00 2.560264115735936485e+00
8.688049162143544890e-02 2.405539686602164551e+00 1.314912283646069824e+00 2.305482757596482912e+00 2.560925506947842933e+00
8.954649507415758658e-02 2.405214118640028431e+00 1.315237851608205943e+00 2.306133893520755151e+00 2.561576642872115173e+00
9.225139608239449340e-02 2.404893560000086694e+00 1.315558410248147680e+00 2.306775010800638626e+00 2.562217760151998647e+00
9.499482819959800817e-02 2.404577895955039679e+00 1.315874074293194695e+00 2.307406338890732655e+00 2.562849088242092677e+00
9.777641745186581301e-02 2.404267015240943550e+00 1.316184955007290824e+00 2.308028100318924913e+00 2.563470849670284935e+00
