P     addS     VS      VS2      VS22
6.156406956914493732e-11 1.533828944083975188e+00 2.186623026164259187e+00 4.048904242632861639e+00 4.304346991984221660e+00
2.023089640396318454e-10 1.521013702352970398e+00 2.199438267895263976e+00 4.074534726094871218e+00 4.329977475446231239e+00
5.966220025395083492e-10 1.509364277473391525e+00 2.211087692774842850e+00 4.097833575854028965e+00 4.353276325205388986e+00
1.601454676907233572e-09 1.498728507125374421e+00 2.221723463122859954e+00 4.119105116550063173e+00 4.374547865901423194e+00
3.958886721231605793e-09 1.488979605288218266e+00 2.231472364960016108e+00 4.138602920224375481e+00 4.394045669575735502e+00
9.102652135040223200e-09 1.480011083811145767e+00 2.240440886437088608e+00 4.156539963178520480e+00 4.411982712529880502e+00
1.963051849863181607e-08 1.471732846839326925e+00 2.248719123408907450e+00 4.173096437122158164e+00 4.428539186473518185e+00
3.999066318016120036e-08 1.464068153479924916e+00 2.256383816768309458e+00 4.188425823840962181e+00 4.443868573192322202e+00
7.742839644771296641e-08 1.456951231651796519e+00 2.263500738596437856e+00 4.202659667497218976e+00 4.458102416848578997e+00
1.432328399266896671e-07 1.450325386030922203e+00 2.270126584217312171e+00 4.215911358738967607e+00 4.471354108090327628e+00
2.543118179112361180e-07 1.444141484418391741e+00 2.276310485829842634e+00 4.228279161964028532e+00 4.483721911315388553e+00
4.351082113477293177e-07 1.438356737344033576e+00 2.282095232904200799e+00 4.239848656112744862e+00 4.495291405464104884e+00
7.198537296810094650e-07 1.432933706513463079e+00 2.287518263734771296e+00 4.250694717773885856e+00 4.506137467125245877e+00
1.155138026307371361e-06 1.427839493684327721e+00 2.292612476563906654e+00 4.260883143432156572e+00 4.516325892783516593e+00
1.802753831946176506e-06 1.423045072689742341e+00 2.297406897558492034e+00 4.270471985421327332e+00 4.525914734772687353e+00
2.742763606537241376e-06 1.418524736072608761e+00 2.301927234175625614e+00 4.279512658655594493e+00 4.534955408006954514e+00
4.076721090393740224e-06 1.414255633949974111e+00 2.306196336298260263e+00 4.288050862900863791e+00 4.543493612252223812e+00
5.930972674683101819e-06 1.410217387703337266e+00 2.310234582544897108e+00 4.296127355394137481e+00 4.551570104745497503e+00
8.459958950720790160e-06 1.406391764656031995e+00 2.314060205592202379e+00 4.303778601488748023e+00 4.559221350840108045e+00
1.184943605772374247e-05 1.402762402881958081e+00 2.317689567366276293e+00 4.311037325036895851e+00 4.566480074388255872e+00
1.631953919692315461e-05 1.399314577283544025e+00 2.321137392964690349e+00 4.317932976233723963e+00 4.573375725585083984e+00
2.212761640577761671e-05 1.396034999852158620e+00 2.324416970396075754e+00 4.324492131096494774e+00 4.579934880447854795e+00
2.957076877474371725e-05 1.392911648566691696e+00 2.327540321681542679e+00 4.330738833667428622e+00 4.586181583018788643e+00
3.898804308655517070e-05 1.389933620142723925e+00 2.330518350105510450e+00 4.336694890515364165e+00 4.592137639866724186e+00
5.076223372298570757e-05 1.387091002790580063e+00 2.333360967457654311e+00 4.342380125219651887e+00 4.597822874571011909e+00
6.532126202671230571e-05 1.384374766130090251e+00 2.336077204118144124e+00 4.347812598540631512e+00 4.603255347891991534e+00
8.313911261277261383e-05 1.381776665220709077e+00 2.338675305027525297e+00 4.353008800359393859e+00 4.608451549710753881e+00
1.047363169720782452e-04 1.379289157106281749e+00 2.341162813141952626e+00 4.357983816588248516e+00 4.613426565939608537e+00
1.306799847698676752e-04 1.376905327560702830e+00 2.343546642687531545e+00 4.362751475679406354e+00 4.618194225030766376e+00
1.615833922779966268e-04 1.374618826972177743e+00 2.345833143276056632e+00 4.367324476856456528e+00 4.622767226207816549e+00
1.981051452388377359e-04 1.372423813852687857e+00 2.348028156395546517e+00 4.371714503095436299e+00 4.627157252446796321e+00
2.409479400611511915e-04 1.370314904997680827e+00 2.350137065250553547e+00 4.375932320805450360e+00 4.631375070156810381e+00
2.908569525768914255e-04 1.368287131437423199e+00 2.352164838810811176e+00 4.379987867925965617e+00 4.635430617277325638e+00
3.486178876740503806e-04 1.366335899292348444e+00 2.354116070955885931e+00 4.383890332216115127e+00 4.639333081567475148e+00
4.150547260330996217e-04 1.364456955081291056e+00 2.355995015166943318e+00 4.387648220638229901e+00 4.643090969989589922e+00
4.910272060288259442e-04 1.362646354769562862e+00 2.357805615478671513e+00 4.391269421261686290e+00 4.646712170613046311e+00
