T     addS     VS      VS2      VS22
1.000000000000000000e+02 1.152064054071522126e+00 2.953688691420303325e+00 5.560516583754592901e+00 5.845582116730181355e+00
1.200000000000000000e+02 1.156233581590898840e+00 2.942518611670248418e+00 5.538750174002500692e+00 5.823133243087883493e+00
1.400000000000000000e+02 1.160326443805607788e+00 2.931004235277192560e+00 5.516288186673666161e+00 5.799981610849352265e+00
1.600000000000000000e+02 1.164361765473046040e+00 2.919251055782222437e+00 5.493338032972512330e+00 5.776342542008253034e+00
1.800000000000000000e+02 1.168350207509750938e+00 2.907330267618047692e+00 5.470042303618860124e+00 5.752361334858329123e+00
2.000000000000000000e+02 1.172298268124545517e+00 2.895290630255678010e+00 5.446499791475040375e+00 5.728137441307657340e+00
2.200000000000000000e+02 1.176210291313661394e+00 2.883166102983922841e+00 5.422779840348297853e+00 5.703740082922752030e+00
2.400000000000000000e+02 1.180089434088287259e+00 2.870980744563002673e+00 5.398931855441746031e+00 5.679218275415117922e+00
2.600000000000000000e+02 1.183938151978414233e+00 2.858751879991077161e+00 5.374991570069918012e+00 5.654607302946476288e+00
2.800000000000000000e+02 1.187758454442612077e+00 2.846492174215568660e+00 5.350985200735927982e+00 5.629932953639931625e+00
3.000000000000000000e+02 1.191552046549316124e+00 2.834211011628042343e+00 5.326932234889954820e+00 5.605214334547107491e+00
3.200000000000000000e+02 1.195320411908415537e+00 2.821915429542296128e+00 5.302847328979032326e+00 5.580465774916615551e+00
3.400000000000000000e+02 1.199064864381663265e+00 2.809610760298347110e+00 5.278741620101264687e+00 5.555698134480200778e+00
3.600000000000000000e+02 1.202786581996976079e+00 2.797301080442834653e+00 5.254623646878826548e+00 5.530919718127807805e+00
3.800000000000000000e+02 1.206486630654540537e+00 2.784989529607979186e+00 5.230500005111275996e+00 5.506136924948096478e+00
4.000000000000000000e+02 1.210165981403539703e+00 2.772678540303273209e+00 5.206375821398017578e+00 5.481354715765265340e+00
4.200000000000000000e+02 1.213825523686258290e+00 2.760370005634465773e+00 5.182255099543976229e+00 5.456576954283599790e+00
4.400000000000000000e+02 1.217466075741582721e+00 2.748065403346156899e+00 5.158140977218371503e+00 5.431806659334328380e+00
4.600000000000000000e+02 1.221088393054444943e+00 2.735765888577590843e+00 5.134035918190400949e+00 5.407046193467974327e+00
4.800000000000000000e+02 1.224693175459704797e+00 2.723472363869077206e+00 5.109941857640919238e+00 5.382297405279423685e+00
5.000000000000000000e+02 1.228281073030949244e+00 2.711185532685716382e+00 5.085860313408893774e+00 5.357561738212862856e+00
5.200000000000000000e+02 1.231852691153219048e+00 2.698905940597731146e+00 5.061792471699519069e+00 5.332840314273997073e+00
5.400000000000000000e+02 1.235408594887966061e+00 2.686634007271338831e+00 5.037739253750963542e+00 5.308133999062439656e+00
5.600000000000000000e+02 1.238949312816240322e+00 2.674370051458461184e+00 5.013701367980654133e+00 5.283443452576027433e+00
5.800000000000000000e+02 1.242475340390079452e+00 2.662114310703008968e+00 4.989679351157144893e+00 5.258769169277057287e+00
6.000000000000000000e+02 1.245987142844821705e+00 2.649866957011562718e+00 4.965673601178320240e+00 5.234111509956148822e+00
6.200000000000000000e+02 1.249485157820974024e+00 2.637628109317464720e+00 4.941684403179685603e+00 5.209470727081324526e+00
6.400000000000000000e+02 1.252969797694337473e+00 2.625397843481309224e+00 4.917711950509989549e+00 5.184846985140724840e+00
6.600000000000000000e+02 1.256441451629337180e+00 2.613176200380753045e+00 4.893756361719995951e+00 5.160240377101516174e+00
6.800000000000000000e+02 1.259900487457997542e+00 2.600963192425570725e+00 4.869817694267714714e+00 5.135650937669774763e+00
7.000000000000000000e+02 1.263347253319736296e+00 2.588758808903815378e+00 4.845895955776834185e+00 5.111078654173057956e+00
7.200000000000000000e+02 1.266782079196271837e+00 2.576563020292095274e+00 4.821991113134066254e+00 5.086523475339316036e+00
7.400000000000000000e+02 1.270205278208848654e+00 2.564375781873788895e+00 4.798103100129036847e+00 5.061985318665943367e+00
7.600000000000000000e+02 1.273617147899887669e+00 2.552197036610778014e+00 4.774231823540439734e+00 5.037464076274773106e+00
7.800000000000000000e+02 1.277017971313913591e+00 2.540026717587824834e+00 4.750377168317218235e+00 5.012959619895148933e+00
8.000000000000000000e+02 1.280408018020199989e+00 2.527864749995114124e+00 4.726539001794002104e+00 4.988471804909131890e+00
8.200000000000000000e+02 1.283787545014380527e+00 2.515711052798657477e+00 4.702717177247205171e+00 4.964000473760687981e+00
8.400000000000000000e+02 1.287156797600388813e+00 2.503565540068617423e+00 4.678911536737192733e+00 4.939545458670785649e+00
8.600000000000000000e+02 1.290516010099111099e+00 2.491428122176507998e+00 4.655121913663464284e+00 4.915106584082217012e+00
