T     addS     VS      VS2      VS22
1.000000000000000000e+00 2.226651857253065359e+00 1.897119042462337646e+00 3.445967204935894923e+00 3.732714752361811605e+00
2.100000000000000000e+01 2.232057771398944901e+00 1.891477877151488407e+00 3.434651397490538827e+00 3.721409306118236948e+00
4.100000000000000000e+01 2.237399932448076001e+00 1.884067792244409567e+00 3.419871997986768442e+00 3.706534473822481246e+00
6.100000000000000000e+01 2.242184979217235252e+00 1.875165578242141251e+00 3.402416970369402272e+00 3.688685227077880935e+00
8.100000000000000000e+01 2.246643932182488257e+00 1.865193123560212829e+00 3.382987349867012661e+00 3.668675756635336072e+00
1.010000000000000000e+02 2.250920021792514270e+00 1.854495326108954067e+00 3.362158553768521685e+00 3.647190373169294730e+00
1.210000000000000000e+02 2.255085043939682787e+00 1.843304808838191367e+00 3.340351129348099857e+00 3.624699787022769293e+00
1.410000000000000000e+02 2.259174671461180228e+00 1.831776333104871313e+00 3.317860450161538743e+00 3.601519375298438685e+00
1.610000000000000000e+02 2.263207442674001868e+00 1.820013308357599113e+00 3.294890067867779937e+00 3.577860210654840500e+00
1.810000000000000000e+02 2.267193734936048699e+00 1.808085568100607166e+00 3.271579946456319554e+00 3.553864810424311571e+00
2.010000000000000000e+02 2.271139903192715082e+00 1.796040978318061088e+00 3.248027113200759430e+00 3.529630800942304525e+00
2.210000000000000000e+02 2.275050214654282144e+00 1.783912904672721567e+00 3.224299721792493578e+00 3.505226191792999213e+00
2.410000000000000000e+02 2.278927782360810284e+00 1.771725005197224423e+00 3.200446366366367368e+00 3.480699181234658379e+00
2.610000000000000000e+02 2.282775034720511353e+00 1.759494329739914376e+00 3.176502219614091072e+00 3.456084492574200251e+00
2.810000000000000000e+02 2.286593963289849540e+00 1.747233350942788643e+00 3.152493104283985215e+00 3.431407522199839910e+00
3.010000000000000000e+02 2.290386260396863882e+00 1.734951316643047914e+00 3.128438227154530793e+00 3.406687099135250918e+00
3.210000000000000000e+02 2.294153400154833822e+00 1.722655165554872303e+00 3.104352041391587047e+00 3.381937351958484328e+00
3.410000000000000000e+02 2.297896688931779785e+00 1.710350157857436493e+00 3.080245534933409246e+00 3.357168993580128991e+00
3.610000000000000000e+02 2.301617298630597830e+00 1.698040316578208975e+00 3.056127135524495664e+00 3.332390220018486282e+00
3.810000000000000000e+02 2.305316290048241790e+00 1.685728741134755460e+00 3.032003355482515872e+00 3.307607348565344108e+00
4.010000000000000000e+02 2.308994629894070449e+00 1.673417833481275263e+00 3.007879257858881772e+00 3.282825277898363758e+00
4.210000000000000000e+02 2.312653203781295019e+00 1.661109463353095173e+00 2.983758797760746262e+00 3.258047824185165364e+00
4.410000000000000000e+02 2.316292826637398328e+00 1.648805090366504800e+00 2.959645075019923688e+00 3.233277969381138206e+00
4.610000000000000000e+02 2.319914251020255946e+00 1.636505855513334495e+00 2.935540523825735271e+00 3.208518047254533379e+00
4.810000000000000000e+02 2.323518174151466553e+00 1.624212650219549303e+00 2.911447056079018658e+00 3.183769883783678978e+00
5.010000000000000000e+02 2.327105243724016503e+00 1.611926169196938652e+00 2.887366171246594782e+00 3.159034904594461679e+00
5.210000000000000000e+02 2.330676063009613053e+00 1.599646951025141206e+00 2.863299040835613596e+00 3.134314217458718410e+00
5.410000000000000000e+02 2.334231195188106511e+00 1.587375409751697219e+00 2.839246574249600030e+00 3.109608676532066518e+00
5.610000000000000000e+02 2.337771167108364523e+00 1.575111859638081313e+00 2.815209470424646199e+00 3.084918932661175006e+00
5.810000000000000000e+02 2.341296472611304580e+00 1.562856534642850903e+00 2.791188258537053102e+00 3.060245472996339089e+00
6.010000000000000000e+02 2.344807575513479847e+00 1.550609603825256144e+00 2.767183330233105920e+00 3.035588652315432512e+00
6.210000000000000000e+02 2.348304912142566536e+00 1.538371183741990222e+00 2.743194965591330359e+00 3.010948718233938948e+00
6.410000000000000000e+02 2.351788893648279810e+00 1.526141348345241511e+00 2.719223353884073546e+00 2.986325831339257775e+00
6.610000000000000000e+02 2.355259908126431156e+00 1.513920136904848945e+00 2.695268610223578776e+00 2.961720081311558062e+00
6.810000000000000000e+02 2.358718322333194450e+00 1.501707560610284986e+00 2.671330789435060638e+00 2.937131500355327773e+00
7.010000000000000000e+02 2.362164483517073421e+00 1.489503607661720963e+00 2.647409896800098750e+00 2.912560073569999020e+00
7.210000000000000000e+02 2.365598720742834615e+00 1.477308247740241498e+00 2.623505897469804893e+00 2.888005748047330457e+00
7.410000000000000000e+02 2.369021346342854883e+00 1.465121435430168262e+00 2.599618723709587798e+00 2.863468439847466129e+00
7.610000000000000000e+02 2.372432657119038169e+00 1.452943113136118569e+00 2.575748281073289903e+00 2.838948039943682389e+00
7.810000000000000000e+02 2.375832935399326828e+00 1.440773213523527829e+00 2.551894453574302446e+00 2.814444419196977520e+00
8.010000000000000000e+02 2.379222450118433585e+00 1.428611661419392220e+00 2.528057107735559583e+00 2.789957432237024193e+00
8.210000000000000000e+02 2.382601457669881739e+00 1.416458375512764434e+00 2.504236096204120798e+00 2.765486920930950276e+00
8.410000000000000000e+02 2.385970202760052672e+00 1.404313269694267063e+00 2.480431260614494704e+00 2.741032717120504003e+00
8.610000000000000000e+02 2.389328919226514358e+00 1.392176254129921631e+00 2.456642433895851241e+00 2.716594644819647186e+00
8.810000000000000000e+02 2.392677830648246129e+00 1.380047236288792334e+00 2.432869442465776189e+00 2.692172522312933580e+00
9.010000000000000000e+02 2.396017151054806504e+00 1.367926121656243055e+00 2.409112107777563239e+00 2.667766163619475606e+00
9.210000000000000000e+02 2.399347085490052933e+00 1.355812814409677713e+00 2.385370247777085950e+00 2.643375379876822251e+00
9.410000000000000000e+02 2.402667830567477125e+00 1.343707217946310095e+00 2.361643678050775463e+00 2.618999980424860041e+00
9.610000000000000000e+02 2.405979574941145671e+00 1.331609235361636223e+00 2.337932212863762516e+00 2.594639773787573489e+00
9.810000000000000000e+02 2.409282499840575298e+00 1.319518769749194576e+00 2.314235665830864264e+00 2.570294568294158921e+00
1.001000000000000000e+03 2.412576779417754835e+00 1.307435724588899006e+00 2.290553850756523957e+00 2.545964172874974452e+00
1.021000000000000000e+03 2.415862581186914326e+00 1.295360003957220840e+00 2.266886582111016679e+00 2.521648397498655214e+00
1.041000000000000000e+03 2.419140066395712552e+00 1.283291512731793205e+00 2.243233675489346268e+00 2.497347053596264743e+00
1.061000000000000000e+03 2.422409390335914736e+00 1.271230156791713028e+00 2.219594948056030859e+00 2.473059954475182565e+00
1.081000000000000000e+03 2.425670702700351455e+00 1.259175843115684756e+00 2.195970218780651351e+00 2.448786915526994790e+00
1.101000000000000000e+03 2.428924147855518356e+00 1.247128479915062371e+00 2.172359308739224559e+00 2.424527754504232746e+00
1.121000000000000000e+03 2.432169865100423323e+00 1.235087976737741400e+00 2.148762041353332819e+00 2.400282291737308782e+00
1.141000000000000000e+03 2.435407988979264360e+00 1.223054244480280772e+00 2.125178242442700594e+00 2.376050350167272285e+00
1.161000000000000000e+03 2.438638649451064566e+00 1.211027195509721821e+00 2.101607740494166876e+00 2.351831755596869300e+00
1.181000000000000000e+03 2.441861972168666739e+00 1.199006743646812367e+00 2.078050366650913361e+00 2.327626336663684015e+00
1.201000000000000000e+03 2.445078078665993360e+00 1.186992804214746400e+00 2.054505954830624148e+00 2.303433924943746547e+00
1.221000000000000000e+03 2.448287086571355076e+00 1.174985294038968675e+00 2.030974341743601030e+00 2.279254354956549378e+00
1.241000000000000000e+03 2.451489109744535710e+00 1.162984131502604157e+00 2.007455367020554604e+00 2.255087464280826737e+00
1.261000000000000000e+03 2.454684258510717143e+00 1.150989236486992695e+00 1.983948873108872135e+00 2.230933093440128800e+00
1.281000000000000000e+03 2.457872639799113301e+00 1.139000530391136579e+00 1.960454705325382463e+00 2.206791085945752684e+00
1.301000000000000000e+03 2.461054357298777973e+00 1.127017936119500519e+00 1.936972711844582307e+00 2.182661288275966172e+00
1.321000000000000000e+03 2.464229511554208329e+00 1.115041378117282989e+00 1.913502743780455262e+00 2.158543549949826001e+00
1.341000000000000000e+03 2.467398200198246627e+00 1.103070782256203586e+00 1.890044654968868088e+00 2.134437723302013978e+00
1.361000000000000000e+03 2.470560518010721296e+00 1.091106075884781035e+00 1.866598302077271399e+00 2.110343663585879881e+00
1.381000000000000000e+03 2.473716557042607178e+00 1.079147187803258134e+00 1.843163544563509504e+00 2.086261228925998523e+00
1.401000000000000000e+03 2.476866406739816284e+00 1.067194048230554415e+00 1.819740244617705116e+00 2.062190280254327490e+00
1.421000000000000000e+03 2.480010154101861986e+00 1.055246588728778079e+00 1.796328267018452607e+00 2.038130681161320013e+00
