    x             y      z
 -20.000  0.2603E-82  0.7808E-84
 -19.970  0.2603E-82  0.1562E-83
 -19.940  0.2603E-82  0.2342E-83
 -19.910  0.2603E-82  0.3123E-83
 -19.880  0.2603E-82  0.3904E-83
 -19.850  0.2603E-82  0.4685E-83
 -19.820  0.2603E-82  0.5465E-83
 -19.790  0.2603E-82  0.6246E-83
 -19.760  0.2603E-82  0.7027E-83
 -19.730  0.2603E-82  0.7808E-83
 -19.700  0.2603E-82  0.8589E-83
 -19.670  0.2603E-82  0.9369E-83
 -19.640  0.2603E-82  0.1015E-82
 -19.610  0.2603E-82  0.1093E-82
 -19.580  0.2603E-82  0.1171E-82
 -19.550  0.2603E-82  0.1249E-82
 -19.520  0.2603E-82  0.1327E-82
 -19.490  0.2603E-82  0.1405E-82
 -19.460  0.2603E-82  0.1483E-82
 -19.430  0.2603E-82  0.1562E-82
 -19.400  0.2603E-82  0.1640E-82
 -19.370  0.2603E-82  0.1718E-82
 -19.340  0.2603E-82  0.1796E-82
 -19.310  0.2603E-82  0.1874E-82
 -19.280  0.2603E-82  0.1952E-82
 -19.250  0.2603E-82  0.2030E-82
 -19.220  0.2603E-82  0.2108E-82
 -19.190  0.2603E-82  0.2186E-82
 -19.160  0.2603E-82  0.2264E-82
 -19.130  0.2625E-82  0.2343E-82
 -19.100  0.1355E-72  0.4064E-74
 -19.070  0.1055E-61  0.3166E-63
 -19.040  0.1113E-51  0.3339E-53
 -19.010  0.1588E-42  0.4764E-44
 -18.980  0.3067E-34  0.9200E-36
 -18.950  0.8015E-27  0.2405E-28
 -18.920  0.2835E-20  0.8505E-22
 -18.890  0.1357E-14  0.4071E-16
 -18.860  0.8792E-10  0.2638E-11
 -18.830  0.7709E-06  0.2313E-07
 -18.800  0.9147E-03  0.2746E-04
 -18.770  0.1469E+00  0.4434E-02
 -18.740  0.3192E+01  0.1002E+00
 -18.710  0.9389E+01  0.3819E+00
 -18.680  0.3737E+01  0.4940E+00
 -18.650  0.2111E+00  0.5003E+00
 -18.620  0.1299E+01  0.5393E+00
 -18.590  0.2321E+02  0.1236E+01
 -18.560  0.5622E+02  0.2922E+01
 -18.530  0.1845E+02  0.3476E+01
 -18.500  0.8197E+00  0.3500E+01
 -18.470  0.4934E-02  0.3500E+01
 -18.440  0.4023E-05  0.3500E+01
 -18.410  0.5678E-06  0.3500E+01
 -18.380  0.1114E-02  0.3500E+01
 -18.350  0.2960E+00  0.3509E+01
 -18.320  0.1065E+02  0.3829E+01
 -18.290  0.5183E+02  0.5384E+01
 -18.260  0.3414E+02  0.6408E+01
 -18.230  0.3081E+01  0.6500E+01
 -18.200  0.3062E+01  0.6592E+01
 -18.170  0.3402E+02  0.7613E+01
 -18.140  0.5188E+02  0.9169E+01
 -18.110  0.1073E+02  0.9491E+01
 -18.080  0.3006E+00  0.9500E+01
 -18.050  0.1142E-02  0.9500E+01
 -18.020  0.5885E-06  0.9500E+01
 -17.990  0.4109E-10  0.9500E+01
 -17.960  0.1246E-13  0.9500E+01
 -17.930  0.8215E-09  0.9500E+01
 -17.900  0.7567E-05  0.9500E+01
 -17.870  0.9433E-02  0.9500E+01
 -17.840  0.1592E+01  0.9548E+01
 -17.810  0.3635E+02  0.1064E+02
 -17.780  0.1124E+03  0.1401E+02
 -17.750  0.4701E+02  0.1542E+02
 -17.720  0.2662E+01  0.1550E+02
 -17.690  0.2041E-01  0.1550E+02
 -17.660  0.1197E-02  0.1550E+02
 -17.630  0.3102E+00  0.1551E+02
 -17.600  0.1124E+02  0.1585E+02
 -17.570  0.5710E+02  0.1756E+02
 -17.540  0.4291E+02  0.1885E+02
 -17.510  0.1195E+02  0.1921E+02
 -17.480  0.4601E+02  0.2059E+02
 -17.450  0.4188E+02  0.2184E+02
 -17.420  0.5174E+01  0.2200E+02
 -17.390  0.1820E+00  0.2200E+02
 -17.360  0.5492E+01  0.2217E+02
 -17.330  0.4303E+02  0.2346E+02
 -17.300  0.5619E+02  0.2514E+02
 -17.270  0.8178E+02  0.2760E+02
 -17.240  0.9629E+02  0.3049E+02
 -17.210  0.7894E+02  0.3285E+02
 -17.180  0.1097E+03  0.3615E+02
 -17.150  0.2756E+02  0.3697E+02
 -17.120  0.1114E+01  0.3701E+02
 -17.090  0.1021E+02  0.3731E+02
 -17.060  0.8358E+02  0.3982E+02
 -17.030  0.1012E+03  0.4286E+02
 -17.000  0.6387E+02  0.4477E+02
 -16.970  0.4761E+02  0.4620E+02
 -16.940  0.5508E+02  0.4785E+02
 -16.910  0.3497E+02  0.4890E+02
 -16.880  0.3216E+01  0.4900E+02
 -16.850  0.1935E+00  0.4900E+02
 -16.820  0.1145E+02  0.4935E+02
 -16.790  0.1309E+03  0.5328E+02
 -16.760  0.3130E+03  0.6267E+02
 -16.730  0.2432E+03  0.6996E+02
 -16.700  0.5041E+02  0.7148E+02
 -16.670  0.2164E+02  0.7212E+02
 -16.640  0.5645E+02  0.7382E+02
 -16.610  0.2591E+02  0.7460E+02
 -16.580  0.4195E+02  0.7585E+02
 -16.550  0.1064E+03  0.7905E+02
 -16.520  0.2739E+03  0.8726E+02
 -16.490  0.1961E+03  0.9315E+02
 -16.460  0.2940E+02  0.9403E+02
 -16.430  0.2737E+02  0.9485E+02
 -16.400  0.6438E+02  0.9678E+02
 -16.370  0.6541E+02  0.9874E+02
 -16.340  0.3803E+02  0.9988E+02
 -16.310  0.3825E+01  0.1000E+03
 -16.280  0.5282E-01  0.1000E+03
 -16.250  0.9880E-04  0.1000E+03
 -16.220  0.2501E-07  0.1000E+03
 -16.190  0.8571E-12  0.1000E+03
 -16.160  0.3974E-17  0.1000E+03
 -16.130  0.2494E-23  0.1000E+03
 -16.100  0.2119E-30  0.1000E+03
 -16.070  0.2436E-38  0.1000E+03
 -16.040  0.3790E-47  0.1000E+03
 -16.010  0.7980E-57  0.1000E+03
 -15.980  0.2274E-67  0.1000E+03
 -15.950  0.8774E-79  0.1000E+03
 -15.920  0.2603E-82  0.1000E+03
 -15.890  0.2603E-82  0.1000E+03
 -15.860  0.2603E-82  0.1000E+03
 -15.830  0.2603E-82  0.1000E+03
 -15.800  0.2603E-82  0.1000E+03
 -15.770  0.2603E-82  0.1000E+03
 -15.740  0.2603E-82  0.1000E+03
 -15.710  0.2603E-82  0.1000E+03
 -15.680  0.2603E-82  0.1000E+03
 -15.650  0.2603E-82  0.1000E+03
 -15.620  0.2603E-82  0.1000E+03
 -15.590  0.2603E-82  0.1000E+03
 -15.560  0.2603E-82  0.1000E+03
 -15.530  0.2603E-82  0.1000E+03
 -15.500  0.2603E-82  0.1000E+03
 -15.470  0.2603E-82  0.1000E+03
 -15.440  0.2603E-82  0.1000E+03
 -15.410  0.2603E-82  0.1000E+03
 -15.380  0.2603E-82  0.1000E+03
 -15.350  0.2603E-82  0.1000E+03
 -15.320  0.2603E-82  0.1000E+03
 -15.290  0.2603E-82  0.1000E+03
 -15.260  0.2603E-82  0.1000E+03
 -15.230  0.2603E-82  0.1000E+03
 -15.200  0.2603E-82  0.1000E+03
 -15.170  0.2603E-82  0.1000E+03
 -15.140  0.2603E-82  0.1000E+03
 -15.110  0.2603E-82  0.1000E+03
 -15.080  0.2603E-82  0.1000E+03
 -15.050  0.2603E-82  0.1000E+03
 -15.020  0.2603E-82  0.1000E+03
 -14.990  0.2603E-82  0.1000E+03
 -14.960  0.2603E-82  0.1000E+03
 -14.930  0.2603E-82  0.1000E+03
 -14.900  0.2603E-82  0.1000E+03
 -14.870  0.2603E-82  0.1000E+03
 -14.840  0.2603E-82  0.1000E+03
 -14.810  0.2603E-82  0.1000E+03
 -14.780  0.2603E-82  0.1000E+03
 -14.750  0.2603E-82  0.1000E+03
 -14.720  0.2603E-82  0.1000E+03
 -14.690  0.2603E-82  0.1000E+03
 -14.660  0.2603E-82  0.1000E+03
 -14.630  0.2603E-82  0.1000E+03
 -14.600  0.2603E-82  0.1000E+03
 -14.570  0.2603E-82  0.1000E+03
 -14.540  0.2603E-82  0.1000E+03
 -14.510  0.2603E-82  0.1000E+03
 -14.480  0.2603E-82  0.1000E+03
