#  aims_uuid : 282258B3-0A00-4C8B-ABE0-40F779DADCD2                                
#  angular momentum projected density of states for species add_Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.703064 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2
       -4.63627545        0.00494337        0.00014404        0.00479806        0.00000127
       -4.62626544        0.00596940        0.00017683        0.00579101        0.00000155
       -4.61625543        0.12672432        0.00123938        0.12545051        0.00003442
       -4.60624542        0.04047061        0.00129458        0.03916787        0.00000817
       -4.59623541        0.12050565        0.00262706        0.11785333        0.00002526
       -4.58622540        0.13842664        0.00136530        0.13703410        0.00002724
       -4.57621539        0.19329562        0.00512087        0.18812989        0.00004486
       -4.56620538        0.06612117        0.00664434        0.05946242        0.00001442
       -4.55619537        0.10665683        0.00235410        0.10428297        0.00001976
       -4.54618536        0.19764996        0.01656298        0.18104710        0.00003988
       -4.53617535        0.13960673        0.00488558        0.13469825        0.00002291
       -4.52616534        0.04477516        0.00253094        0.04223802        0.00000620
       -4.51615533        0.05725568        0.00364273        0.05360365        0.00000929
       -4.50614532        0.05349521        0.00268690        0.05079657        0.00001175
       -4.49613531        0.08302006        0.00566712        0.07733308        0.00001986
       -4.48612530        0.06714104        0.00409092        0.06303541        0.00001470
       -4.47611529        0.16498741        0.00941228        0.15554098        0.00003415
       -4.46610528        0.09556137        0.00969194        0.08584903        0.00002040
       -4.45609527        0.06602533        0.00226374        0.06374963        0.00001196
       -4.44608526        0.04770704        0.00417321        0.04352345        0.00001039
       -4.43607525        0.03962962        0.00252451        0.03709701        0.00000810
       -4.42606524        0.02300936        0.00311758        0.01988716        0.00000462
       -4.41605523        0.02794139        0.00372318        0.02421280        0.00000541
       -4.40604522        0.04646456        0.00583862        0.04061727        0.00000867
       -4.39603521        0.04205355        0.00383380        0.03821233        0.00000742
       -4.38602520        0.06794883        0.00597712        0.06196054        0.00001118
       -4.37601519        0.11361815        0.00986853        0.10373234        0.00001728
       -4.36600518        0.13159510        0.00644208        0.12513084        0.00002218
       -4.35599517        0.10556405        0.00046706        0.10507582        0.00002117
       -4.34598516        0.16991984        0.00211534        0.16777509        0.00002941
       -4.33597515        0.06563136        0.00096674        0.06465383        0.00001079
       -4.32596514        0.02124749        0.00039982        0.02084387        0.00000380
       -4.31595513        0.01588387        0.00027363        0.01560704        0.00000320
       -4.30594512        0.03376059        0.00246200        0.03129192        0.00000668
       -4.29593511        0.04380326        0.00469317        0.03910000        0.00001009
       -4.28592510        0.03539373        0.00323910        0.03214750        0.00000713
       -4.27591509        0.04030536        0.00364751        0.03664996        0.00000789
       -4.26590508        0.04370908        0.00392536        0.03977532        0.00000840
       -4.25589507        0.04560488        0.00407263        0.04152359        0.00000866
       -4.24588506        0.04599278        0.00408933        0.04189476        0.00000868
       -4.23587505        0.04487276        0.00397546        0.04088884        0.00000846
       -4.22586504        0.04224483        0.00373101        0.03850582        0.00000799
       -4.21585503        0.03810898        0.00335600        0.03474571        0.00000727
       -4.20584502        0.03246522        0.00285041        0.02960850        0.00000631
       -4.19583501        0.04666503        0.00231261        0.04434164        0.00001079
       -4.18582500        0.09243703        0.00616201        0.08625556        0.00001946
       -4.17581499        0.10076777        0.00547607        0.09527204        0.00001966
       -4.16580498        0.11890658        0.00585113        0.11303435        0.00002110
       -4.15579497        0.14821132        0.00674183        0.14144575        0.00002374
       -4.14578496        0.12994017        0.00751429        0.12240733        0.00001856
       -4.13577495        0.10495017        0.00698669        0.09794923        0.00001424
       -4.12576494        0.09449556        0.00626043        0.08822173        0.00001339
       -4.11575493        0.09322384        0.00609482        0.08711520        0.00001382
       -4.10574492        0.09220649        0.00594602        0.08624621        0.00001426
       -4.09573491        0.09232974        0.00582744        0.08648751        0.00001479
       -4.08572490        0.09457003        0.00579742        0.08875711        0.00001550
       -4.07571489        0.10061335        0.00611551        0.09448145        0.00001640
       -4.06570488        0.11013532        0.00666795        0.10344978        0.00001759
       -4.05569487        0.12286473        0.00738951        0.11545600        0.00001922
       -4.04568486        0.14536298        0.00875623        0.13658446        0.00002230
       -4.03567485        0.18019088        0.01078134        0.16938209        0.00002745
       -4.02566484        0.22729184        0.01345659        0.21380060        0.00003466
       -4.01565483        0.28666588        0.01678197        0.26983998        0.00004394
       -4.00564482        0.35831299        0.02075747        0.33750024        0.00005528
       -3.99563481        0.44223317        0.02538311        0.41678138        0.00006868
       -3.98562480        0.11390514        0.00590283        0.10798824        0.00001407
       -3.97561479        0.13522605        0.00701272        0.12819640        0.00001693
       -3.96560478        0.15922087        0.00847304        0.15072773        0.00002009
       -3.95559477        0.18588961        0.01028379        0.17558225        0.00002358
