#  aims_uuid : 26590A03-8ECB-48DB-AAF9-C350649CAC7C                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.050977 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.94902274        1.42613904        0.02080739        1.36966276        0.03317402        0.00249487
       -4.93902274        0.61988364        0.00889700        0.58838851        0.02098615        0.00161198
       -4.92902274        1.53788218        0.01758184        1.49071151        0.02584642        0.00374241
       -4.91902274        0.46113182        0.00809433        0.43650399        0.01523691        0.00129658
       -4.90902274        1.25024201        0.04173569        1.16470236        0.03866389        0.00514006
       -4.89902274        1.51163508        0.02611552        1.45709112        0.02456670        0.00386174
       -4.88902274        0.76324927        0.01547359        0.71451196        0.03097578        0.00228794
       -4.87902274        1.02766345        0.02093574        0.96373157        0.04016898        0.00282715
       -4.86902274        1.20500771        0.02890163        1.10773559        0.06460031        0.00377018
       -4.85902274        0.81861730        0.01910344        0.75397948        0.04288591        0.00264847
       -4.84902274        0.69075493        0.01427746        0.63776484        0.03618500        0.00252763
       -4.83902274        0.55837640        0.00755877        0.53557506        0.01308555        0.00215702
       -4.82902274        0.40779315        0.00536260        0.39086769        0.00993001        0.00163285
       -4.81902274        0.82887103        0.01071759        0.79762326        0.01726390        0.00326628
       -4.80902274        0.35936603        0.00602424        0.33373173        0.01791137        0.00169868
       -4.79902274        0.42631099        0.00751608        0.39252268        0.02412704        0.00214518
       -4.78902274        0.32136320        0.00530227        0.30002800        0.01462624        0.00140669
       -4.77902274        0.28936449        0.00447160        0.27372790        0.00998374        0.00118124
       -4.76902274        0.52033633        0.00784673        0.48600155        0.02403945        0.00244860
       -4.75902274        0.51979487        0.00911646        0.49421548        0.01466556        0.00179736
       -4.74902274        0.93419900        0.01387466        0.89551786        0.02174440        0.00306208
       -4.73902274        0.33628307        0.00598062        0.32206583        0.00703957        0.00119705
       -4.72902274        0.27554286        0.00491283        0.26264683        0.00690729        0.00107591
       -4.71902274        0.23023344        0.00403938        0.21852504        0.00670414        0.00096488
       -4.70902274        0.32508114        0.00589065        0.30805406        0.00961191        0.00152452
       -4.69902274        0.28207048        0.00508560        0.26702100        0.00872383        0.00124005
       -4.68902274        0.46217343        0.00857548        0.43862427        0.01319701        0.00177666
       -4.67902274        0.39208779        0.01138003        0.36871419        0.01039304        0.00160053
       -4.66902274        0.36952792        0.01315541        0.34484781        0.00981511        0.00170958
       -4.65902274        0.37054781        0.01268987        0.34621263        0.00993120        0.00171411
       -4.64902274        0.31581776        0.00808907        0.29888676        0.00763597        0.00120595
       -4.63902274        0.27958030        0.00623097        0.26599552        0.00633869        0.00101511
       -4.62902274        0.23794798        0.00490726        0.22716454        0.00508489        0.00079130
       -4.61902274        0.17414740        0.00271977        0.16754619        0.00334598        0.00053547
