Atoms:  2  Mode #:  1 Freq: -0.0296678565038 cm-1,Mass weighted displacment dq is: 
 [-0.11092669 -0.50464378  0.48259729 -0.11101645 -0.50480057  0.48268158]
Atoms:  2  Mode #:  2 Freq: -0.0155853343969 cm-1,Mass weighted displacment dq is: 
 [ 0.57999625 -0.33874784 -0.22091754  0.58008564 -0.33877301 -0.22086916]
Atoms:  2  Mode #:  3 Freq: -0.00394961700269 cm-1,Mass weighted displacment dq is: 
 [0.38889653 0.36123599 0.46717837 0.38888958 0.36125109 0.46719906]
Atoms:  2  Mode #:  4 Freq: 210.459742645 cm-1,Mass weighted displacment dq is: 
 [-0.26965789 -0.56215165  0.33377075  0.26963412  0.56200588 -0.33363763]
Atoms:  2  Mode #:  5 Freq: 210.476028938 cm-1,Mass weighted displacment dq is: 
 [-6.37692995e-01  3.05621701e-01 -4.86357176e-04  6.37622885e-01 -3.05580687e-01  5.32342563e-04]
Atoms:  2  Mode #:  6 Freq: 210.488356154 cm-1,Mass weighted displacment dq is: 
 [ 0.14384498  0.30112126  0.62340718 -0.14378939 -0.30112575 -0.62341478]
