#  aims_uuid : CCFD33A2-6804-44BB-A1D9-DBB9C6DE0F90                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.40915165        0.04393655        0.04759552        0.30964281        0.00797676
       -9.99000000        0.42096897        0.05280936        0.06157207        0.29477963        0.01180791
       -9.98000000        0.60481294        0.05082530        0.09112003        0.44719854        0.01566906
       -9.97000000        0.46928950        0.03039333        0.07385480        0.35326687        0.01177450
       -9.96000000        0.49273276        0.02764018        0.07694076        0.37625540        0.01189642
       -9.95000000        0.47783816        0.02624736        0.08498679        0.35579721        0.01080680
       -9.94000000        0.50502018        0.02762983        0.10058888        0.36581508        0.01098640
       -9.93000000        0.51231343        0.02900414        0.11765147        0.35464150        0.01101630
       -9.92000000        0.31263129        0.01325611        0.07404188        0.21830533        0.00702798
       -9.91000000        0.38885551        0.00738300        0.05091010        0.32266091        0.00790151
       -9.90000000        0.38919137        0.01215721        0.04211596        0.32769983        0.00721837
       -9.89000000        0.36982922        0.01433676        0.04123218        0.30768797        0.00657231
       -9.88000000        0.95510680        0.07528069        0.08159724        0.78700610        0.01122277
       -9.87000000        0.58943759        0.04398594        0.05875240        0.47799690        0.00870236
       -9.86000000        0.59773246        0.03991211        0.06023267        0.48850770        0.00907997
       -9.85000000        0.56369912        0.03707184        0.05662949        0.46151513        0.00848266
       -9.84000000        0.44388801        0.03192261        0.04179510        0.36355829        0.00661201
       -9.83000000        0.37855813        0.02858587        0.03416165        0.30999778        0.00581284
       -9.82000000        0.35064160        0.02836357        0.03080145        0.28595429        0.00552227
       -9.81000000        0.30506135        0.02833055        0.02568017        0.24617512        0.00487551
       -9.80000000        0.35821663        0.03839188        0.03773095        0.27646829        0.00562552
       -9.79000000        0.60103329        0.04774393        0.05865472        0.48495630        0.00967835
       -9.78000000        0.57399680        0.04520443        0.04519008        0.47437634        0.00922595
       -9.77000000        0.52094938        0.04034148        0.03438250        0.43775882        0.00846658
       -9.76000000        0.46707800        0.03099536        0.02358036        0.40494929        0.00755298
       -9.75000000        0.35502226        0.01845034        0.01217248        0.31925149        0.00514795
       -9.74000000        0.28532057        0.00925862        0.00745313        0.26507323        0.00353559
       -9.73000000        0.51251298        0.02539172        0.02751122        0.45197079        0.00763925
       -9.72000000        0.48795577        0.03513689        0.03152801        0.41441481        0.00687606
       -9.71000000        0.37481850        0.02512929        0.03359703        0.31115189        0.00494030
       -9.70000000        0.30451180        0.01513712        0.02873871        0.25607474        0.00456124
       -9.69000000        0.34593536        0.00967248        0.03192901        0.29887489        0.00545898
       -9.68000000        0.48026268        0.00928623        0.03572863        0.42787339        0.00737442
       -9.67000000        0.60395640        0.00696285        0.03494117        0.55235577        0.00969661
       -9.66000000        0.71214173        0.00528507        0.04418731        0.65201005        0.01065931
       -9.65000000        0.54043246        0.00458860        0.04325592        0.48367986        0.00890807
       -9.64000000        0.54934790        0.00639980        0.05551834        0.47721041        0.01021935
       -9.63000000        0.62777523        0.01080761        0.08573668        0.51746031        0.01377063
       -9.62000000        0.64741619        0.01489391        0.09150091        0.52723864        0.01378273
       -9.61000000        0.63819719        0.02178196        0.07725375        0.52675556        0.01240592
       -9.60000000        0.72747007        0.02766094        0.08257551        0.60461953        0.01261409
       -9.59000000        1.12199430        0.03692978        0.11891978        0.94890438        0.01724036
       -9.58000000        3.88740659        0.05506916        0.29857529        3.48178386        0.05197828
       -9.57000000        1.00876167        0.05709072        0.13591948        0.80053569        0.01521579
       -9.56000000        0.90435910        0.07534902        0.13316689        0.68161477        0.01422841
       -9.55000000        0.65882132        0.05061233        0.10435250        0.49438391        0.00947257
       -9.54000000        0.62497319        0.02310984        0.11449116        0.47957223        0.00779996
       -9.53000000        0.99634883        0.01569477        0.24641995        0.72373618        0.01049793
       -9.52000000        0.88701897        0.03742078        0.15497517        0.68473836        0.00988465
       -9.51000000        1.27788252        0.10516983        0.23120460        0.92791549        0.01359259
       -9.50000000        0.90742639        0.01636439        0.16943042        0.71209073        0.00954086
       -9.49000000        0.79379525        0.02669130        0.07745086        0.68219970        0.00745340
       -9.48000000        1.58545797        0.01617379        0.16844648        1.38601176        0.01482594
       -9.47000000        0.65369981        0.00602567        0.09633823        0.54449738        0.00683853
       -9.46000000        2.31176820        0.02381625        0.30894211        1.95623494        0.02277490
       -9.45000000        1.15235218        0.00763930        0.24229577        0.89015741        0.01225970
       -9.44000000        1.61181217        0.01943512        0.33430643        1.23972886        0.01834176
       -9.43000000        0.70144059        0.00639798        0.13068046        0.55747483        0.00688732
       -9.42000000        1.69204639        0.03025743        0.21819984        1.42618580        0.01740332
       -9.41000000        1.33261862        0.06244210        0.12069575        1.13526445        0.01421633
       -9.40000000        0.96035943        0.04066305        0.10621201        0.80214833        0.01133604
       -9.39000000        1.12871252        0.03750265        0.13168380        0.94665977        0.01286630
       -9.38000000        2.37781589        0.02115831        0.27068371        2.05828456        0.02768932
       -9.37000000        1.19378828        0.01038984        0.17220265        0.99863651        0.01255927
       -9.36000000        0.92571760        0.00482306        0.13415670        0.77746206        0.00927577
       -9.35000000        0.85591644        0.00313825        0.11383206        0.72945813        0.00948800
       -9.34000000        0.92252729        0.00389277        0.08764202        0.81723514        0.01375736
       -9.33000000        0.69136033        0.00481149        0.07179982        0.60613842        0.00861061
       -9.32000000        1.76623896        0.01467821        0.15379587        1.57851206        0.01925281
       -9.31000000        1.54811889        0.01037123        0.13691769        1.38552432        0.01530565
       -9.30000000        1.83950017        0.01728039        0.14897027        1.65085640        0.02239310
       -9.29000000        1.48065904        0.01509250        0.11284342        1.33302166        0.01970145
       -9.28000000        1.29386925        0.01224056        0.07710548        1.18939362        0.01512959
       -9.27000000        1.15704640        0.00971633        0.05178652        1.08315717        0.01238638
       -9.26000000        0.94243707        0.00803455        0.03489761        0.89033974        0.00916517
       -9.25000000        1.41924299        0.00767493        0.04023968        1.35246888        0.01885950
       -9.24000000        1.23077792        0.00453909        0.02933579        1.18308121        0.01382183
       -9.23000000        0.95166371        0.00438362        0.03000342        0.90734609        0.00993059
       -9.22000000        0.87386776        0.00330503        0.03073175        0.83122860        0.00860239
       -9.21000000        1.00103836        0.00282214        0.03041326        0.95647200        0.01133096
       -9.20000000        0.94538932        0.00223917        0.02208388        0.91058776        0.01047850
       -9.19000000        0.96701134        0.00139858        0.01556852        0.94043405        0.00961018
       -9.18000000        0.91515330        0.00139958        0.01656753        0.88815868        0.00902751
       -9.17000000        1.01276262        0.00147225        0.01859194        0.98433489        0.00836354
       -9.16000000        0.69872648        0.00406564        0.01394783        0.67342831        0.00728470
       -9.15000000        0.66824703        0.00609228        0.01273022        0.64250918        0.00691535
       -9.14000000        0.70552718        0.00783405        0.01331654        0.67739001        0.00698658
       -9.13000000        0.66923858        0.00750895        0.01424530        0.64088054        0.00660378
       -9.12000000        0.60453013        0.00738876        0.01601911        0.57489608        0.00622618
       -9.11000000        1.26652675        0.05961238        0.17634955        1.01439242        0.01617241
       -9.10000000        0.77602779        0.01431373        0.02471998        0.72649066        0.01050342
       -9.09000000        0.88152570        0.01119667        0.02633749        0.83148726        0.01250429
       -9.08000000        1.20766870        0.01385790        0.03495064        1.13583848        0.02302167
       -9.07000000        0.89645026        0.00797677        0.03188607        0.83934987        0.01723756
       -9.06000000        0.61935251        0.00776546        0.04875728        0.55001171        0.01281806
       -9.05000000        0.68974538        0.00882547        0.05428949        0.61360116        0.01302926
       -9.04000000        0.68256858        0.01020708        0.06039793        0.59945042        0.01251315
       -9.03000000        0.61541478        0.00686694        0.04368846        0.55331121        0.01154817
       -9.02000000        0.55002012        0.00623761        0.05884051        0.47513394        0.00980806
       -9.01000000        1.37690368        0.01327994        0.09070915        1.24934429        0.02357029
       -9.00000000        1.00184306        0.01309654        0.05412873        0.92015127        0.01446651
       -8.99000000        0.61028846        0.01237261        0.02982220        0.56060003        0.00749361
       -8.98000000        0.61183654        0.01937223        0.07963688        0.50712736        0.00570006
       -8.97000000        1.05889137        0.02961194        0.14066699        0.87757647        0.01103596
       -8.96000000        1.22245229        0.02937297        0.09492253        1.08301088        0.01514591
       -8.95000000        1.29218139        0.01473304        0.07105143        1.18948688        0.01691004
       -8.94000000        0.97458988        0.02009743        0.10601419        0.83687646        0.01160179
       -8.93000000        0.89167536        0.02917702        0.14948354        0.70178587        0.01122894
       -8.92000000        0.19477151        0.00236678        0.03797335        0.15136455        0.00306683
       -8.91000000        0.10264763        0.00119892        0.01548760        0.08428242        0.00167869
       -8.90000000        1.01736268        0.03923933        0.04271197        0.91769225        0.01771914
       -8.89000000        1.87578291        0.03014613        0.03355825        1.79124167        0.02083686
       -8.88000000        0.31983474        0.00238789        0.00933056        0.30363807        0.00447823
       -8.87000000        0.21325143        0.00070291        0.00845473        0.20072327        0.00337051
       -8.86000000        0.32357135        0.00269553        0.02977051        0.28471947        0.00638584
       -8.85000000        0.79471029        0.00855260        0.11186243        0.65856894        0.01572632
       -8.84000000        0.77345970        0.00738572        0.09282270        0.65625615        0.01699512
       -8.83000000        0.61795263        0.00598646        0.07195274        0.52555583        0.01445761
       -8.82000000        0.40047398        0.00443913        0.05657845        0.32904084        0.01041557
       -8.81000000        0.28472986        0.00364723        0.02006434        0.25552192        0.00549637
       -8.80000000        0.48144775        0.00482915        0.03317362        0.43340743        0.01003755
       -8.79000000        0.54778750        0.00579897        0.03393018        0.49441490        0.01364345
       -8.78000000        0.40237400        0.00473607        0.01019371        0.37417897        0.01326526
       -8.77000000        0.25841505        0.00418868        0.02304649        0.22081534        0.01036454
       -8.76000000        0.17875051        0.00369228        0.03686490        0.13209219        0.00610114
       -8.75000000        0.25500514        0.00438610        0.04188735        0.19794863        0.01078306
       -8.74000000        0.44232431        0.00560346        0.04092777        0.37668444        0.01910865
       -8.73000000        0.80066187        0.00507945        0.03259187        0.73295247        0.03003808
       -8.72000000        0.23963193        0.00307396        0.02120216        0.21012820        0.00522760
       -8.71000000        0.18742260        0.00319580        0.02510169        0.15584213        0.00328297
       -8.70000000        0.19087426        0.00350580        0.03305846        0.15159997        0.00271003
       -8.69000000        0.41691037        0.00592631        0.06943872        0.33422563        0.00731970
       -8.68000000        0.55808467        0.00705545        0.09091934        0.45082851        0.00928138
       -8.67000000        0.56571375        0.00631887        0.08145808        0.46878922        0.00914758
       -8.66000000        0.54831055        0.00551473        0.06715094        0.46658153        0.00906334
       -8.65000000        0.53150600        0.00505699        0.05627052        0.46105536        0.00912312
       -8.64000000        0.52694367        0.00412952        0.02333432        0.48959826        0.00988157
       -8.63000000        0.24165503        0.00183482        0.00433336        0.23134856        0.00413829
       -8.62000000        0.33536266        0.00287969        0.00620514        0.32131104        0.00496679
       -8.61000000        0.64346225        0.00534839        0.00984364        0.62049540        0.00777482
       -8.60000000        0.48946489        0.00476391        0.01011055        0.46837949        0.00621093
       -8.59000000        0.63326289        0.00624803        0.01278431        0.60756058        0.00666997
       -8.58000000        0.93089994        0.00784128        0.01496412        0.89981057        0.00828397
       -8.57000000        0.37412266        0.00346984        0.01421955        0.35150219        0.00493109
       -8.56000000        0.45815436        0.00428733        0.01777261        0.42987218        0.00622225
       -8.55000000        0.58828941        0.00602791        0.02430139        0.54951046        0.00844966
       -8.54000000        0.61642598        0.00562296        0.02674062        0.57501774        0.00904467
       -8.53000000        0.63655253        0.00523454        0.02924523        0.59251666        0.00955610
       -8.52000000        0.51787612        0.00479490        0.03147309        0.47373186        0.00787626
       -8.51000000        0.50987842        0.00453479        0.03390986        0.46348110        0.00795267
       -8.50000000        0.40967756        0.00314895        0.02014871        0.38031956        0.00606034
       -8.49000000        0.56884746        0.00369988        0.04584850        0.51169902        0.00760006
       -8.48000000        0.73609061        0.00437058        0.06295061        0.65813348        0.01063595
       -8.47000000        0.74269939        0.00412707        0.04961085        0.67678554        0.01217593
       -8.46000000        0.71367900        0.00367300        0.03577555        0.66465917        0.00957127
       -8.45000000        0.60884809        0.00302204        0.02578715        0.57187724        0.00816167
       -8.44000000        0.53405648        0.00288349        0.02533175        0.49921468        0.00662657
       -8.43000000        0.75506203        0.00374128        0.03827025        0.70105217        0.01199833
       -8.42000000        0.72331510        0.00471115        0.04386047        0.66473577        0.01000771
       -8.41000000        0.70148302        0.00395231        0.03799935        0.64918533        0.01034603
       -8.40000000        0.82574803        0.00554689        0.06535727        0.74216182        0.01268206
       -8.39000000        0.81736099        0.00674979        0.08412796        0.71388183        0.01260140
       -8.38000000        0.61298379        0.00509735        0.06616590        0.53186478        0.00985577
       -8.37000000        0.59410203        0.00571326        0.08159534        0.49642014        0.01037328
       -8.36000000        0.95939491        0.00825407        0.12102016        0.81448219        0.01563850
       -8.35000000        0.61245690        0.00476026        0.08628552        0.51093070        0.01048042
       -8.34000000        0.57618105        0.00426850        0.07936249        0.47998360        0.01256647
       -8.33000000        0.51826511        0.00403269        0.06846006        0.43564256        0.01012980
       -8.32000000        0.49604232        0.00433671        0.06900192        0.41288343        0.00982025
       -8.31000000        0.68978088        0.00635780        0.11756013        0.55192387        0.01393908
       -8.30000000        0.81045424        0.00741476        0.12314834        0.66496260        0.01492854
       -8.29000000        0.99115085        0.00809795        0.15213895        0.81283933        0.01807463
       -8.28000000        1.01240342        0.00881361        0.13075045        0.85529340        0.01754595
       -8.27000000        0.88446056        0.00720214        0.08645618        0.77612110        0.01468114
       -8.26000000        0.92049895        0.00625485        0.07394068        0.82547355        0.01482986
       -8.25000000        1.32328782        0.00611528        0.08876063        1.21006581        0.01834610
       -8.24000000        0.98294539        0.00685407        0.06395646        0.90011903        0.01201583
       -8.23000000        1.20620011        0.00742562        0.06510175        1.12096654        0.01270620
