#  aims_uuid : 91429213-9EA9-4D67-AABC-0C201CD54787                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.478213 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.52178735        0.39722917        0.01118793        0.37055534        0.01390107        0.00158484
       -5.51177734        0.34002539        0.01010664        0.31610330        0.01243045        0.00138501
       -5.50176733        0.52696512        0.01812160        0.48465837        0.02210837        0.00207678
       -5.49175732        0.71111792        0.02129920        0.66311087        0.02420374        0.00250412
       -5.48174731        0.29917000        0.00553744        0.28548717        0.00742026        0.00072513
       -5.47173730        0.16708044        0.00290039        0.15993219        0.00381084        0.00043702
       -5.46172729        0.26321851        0.00498839        0.25093584        0.00657024        0.00072404
       -5.45171728        0.36927564        0.00809687        0.35121108        0.00885951        0.00110819
       -5.44170727        0.39608002        0.00757203        0.37785665        0.00953810        0.00111323
       -5.43169726        0.41732027        0.00705342        0.39925110        0.00989382        0.00112193
       -5.42168725        0.43299640        0.00654103        0.41539443        0.00992665        0.00113428
       -5.41167724        0.44310839        0.00603486        0.42628664        0.00963660        0.00115029
       -5.40166723        0.44765626        0.00553491        0.43192773        0.00902367        0.00116995
       -5.39165722        0.37515925        0.00448200        0.36254946        0.00712526        0.00100252
       -5.38164721        0.17269147        0.00317815        0.16508366        0.00402781        0.00040186
       -5.37163720        0.15456173        0.00300447        0.14758551        0.00357934        0.00039241
       -5.36162719        0.13758592        0.00281759        0.13122644        0.00316251        0.00037937
       -5.35161718        0.15067749        0.00378097        0.14347497        0.00295503        0.00046652
       -5.34160717        0.35519687        0.00763602        0.34013412        0.00648771        0.00093902
       -5.33159716        0.40464514        0.01015606        0.38548317        0.00783602        0.00116990
       -5.32158715        0.44539789        0.01236893        0.42210223        0.00954876        0.00137797
       -5.31157714        0.71527227        0.01833309        0.67739174        0.01740268        0.00214475
       -5.30156713        0.49930782        0.01729624        0.46455904        0.01594813        0.00150441
       -5.29155712        0.51635676        0.02339641        0.47195123        0.01925055        0.00175858
       -5.28154711        0.46627054        0.02632822        0.41913158        0.01905753        0.00175320
       -5.27153710        0.44710383        0.02772693        0.39846669        0.01916509        0.00174512
       -5.26152709        0.27980766        0.01187087        0.25613136        0.01082686        0.00097856
       -5.25151708        0.44153311        0.01820961        0.40715422        0.01457087        0.00159841
       -5.24150707        0.78461241        0.02785685        0.73461166        0.01951030        0.00263360
       -5.23149706        0.56934400        0.01716812        0.53736807        0.01303821        0.00176960
       -5.22148705        0.56308079        0.01638959        0.53277016        0.01212326        0.00179777
       -5.21147704        1.23774662        0.02652600        1.18701784        0.02090820        0.00329458
       -5.20146703        0.89359176        0.01767868        0.85942129        0.01398273        0.00250908
       -5.19145702        0.58992609        0.01065454        0.56884614        0.00874423        0.00168117
       -5.18144701        0.32890613        0.00662294        0.31611952        0.00517343        0.00099024
       -5.17143700        0.09306589        0.00449604        0.08568771        0.00252147        0.00036067
       -5.16142699        0.08089526        0.00422884        0.07398013        0.00236725        0.00031903
       -5.15141698        0.17821527        0.00946903        0.16209988        0.00583173        0.00081463
       -5.14140697        0.49634875        0.03297941        0.44172594        0.01915743        0.00248596
       -5.13139696        1.44197427        0.12279499        1.24542908        0.06593185        0.00781835
       -5.12138695        0.51895957        0.04177624        0.45165765        0.02296772        0.00255796
       -5.11137694        0.46704930        0.02917816        0.41012059        0.02478269        0.00296787
       -5.10136693        1.18482348        0.05541077        1.06611775        0.05670662        0.00658835
       -5.09135692        0.30483707        0.01402459        0.28192424        0.00791158        0.00097666
       -5.08134691        0.24046474        0.01318266        0.22015357        0.00632193        0.00080658
       -5.07133690        3.42318871        0.27924506        2.97919170        0.14719639        0.01755556
       -5.06132689        0.56726858        0.04417218        0.49862098        0.02183704        0.00263838
       -5.05131688        0.45375734        0.03682403        0.39622544        0.01849954        0.00220833
       -5.04130687        0.33680373        0.02777313        0.29251857        0.01478545        0.00172658
       -5.03129686        0.64732886        0.05158021        0.56058358        0.03138576        0.00377930
       -5.02128685        0.67705464        0.05368945        0.58799614        0.03132816        0.00404090
       -5.01127684        0.96590118        0.05244225        0.86227413        0.04547423        0.00571058
       -5.00126683        3.25249634        0.23510133        2.88142874        0.11930949        0.01665677
       -4.99125682        3.09309725        0.24625155        2.71091476        0.12002945        0.01590148
       -4.98124681        0.00011558        0.00000354        0.00009946        0.00001104        0.00000153
       -4.97123680        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.96122679        1.30301948        0.08890804        1.16831554        0.04035029        0.00544561
       -4.95121678        1.23024631        0.05879649        1.12306042        0.04277788        0.00561152
       -4.94120677        0.53597337        0.03448364        0.47577116        0.02241372        0.00330485
       -4.93119676        0.88023505        0.06904209        0.76419038        0.04137134        0.00563124
       -4.92118675        0.77709721        0.05066575        0.69244537        0.02970790        0.00427820
       -4.91117674        0.64907208        0.05070820        0.56818913        0.02662024        0.00355451
       -4.90116673        1.63377920        0.11040884        1.45061493        0.06421295        0.00854249
       -4.89115672        1.19413972        0.08673673        1.06358077        0.03795740        0.00586481
       -4.88114671        1.21422196        0.10875231        1.04856514        0.04896106        0.00794345
       -4.87113670        0.68128951        0.04186665        0.61527716        0.02074031        0.00340539
       -4.86112669        2.36573625        0.21886865        2.03276226        0.09939970        0.01470563
       -4.85111668        0.74428074        0.06738072        0.64532885        0.02730858        0.00426260
       -4.84110667        1.72877962        0.13907735        1.50554541        0.07367192        0.01048495
       -4.83109666        3.06099551        0.21300731        2.70489295        0.12596146        0.01713379
       -4.82108665        0.47961014        0.02963939        0.42423739        0.02272840        0.00300497
       -4.81107664        1.36649642        0.06676918        1.24279946        0.04990014        0.00702764
       -4.80106663        0.67784122        0.04711831        0.60393555        0.02334406        0.00344330
       -4.79105662        0.30498550        0.01831302        0.26960052        0.01481655        0.00225541
       -4.78104661        0.86026633        0.05927823        0.75753888        0.03767710        0.00577212
       -4.77103660        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.76102659        0.95706017        0.07786347        0.83166827        0.04154118        0.00598726
       -4.75101658        1.51849875        0.07856868        1.34873985        0.08231869        0.00887152
       -4.74100657        1.22062829        0.04242524        1.12302620        0.04988409        0.00529275
       -4.73099656        0.86438113        0.05753418        0.75335724        0.04777712        0.00571259
       -4.72098655        1.42834763        0.07947560        1.27720393        0.06364883        0.00801926
       -4.71097654        1.83237872        0.10205157        1.66132625        0.06064775        0.00835314
       -4.70096653        9.19474899        0.49395925        8.35331231        0.30133235        0.04614507
       -4.69095652        0.41034347        0.03278911        0.35655078        0.01885670        0.00214688
       -4.68094651        1.50629165        0.11515326        1.31931620        0.06456342        0.00725876
       -4.67093650        0.99432797        0.09177935        0.86458507        0.03276919        0.00519436
       -4.66092649        5.72001055        0.59279102        4.93617313        0.15929197        0.03175444
       -4.65091648        0.59969293        0.03634889        0.54176901        0.01860844        0.00296658
       -4.64090647        0.87852406        0.07266529        0.76724431        0.03364332        0.00497114
       -4.63089646        0.90820922        0.06571044        0.79175700        0.04548475        0.00525703
       -4.62088645        0.29823207        0.02068948        0.26393718        0.01188705        0.00171836
       -4.61087644        0.55531685        0.02479805        0.49883210        0.02802107        0.00366563
       -4.60086643        0.49831835        0.02053558        0.44823209        0.02612974        0.00342094
       -4.59085642        0.53556594        0.01880818        0.48552554        0.02764462        0.00358760
       -4.58084641        0.57913121        0.01788769        0.52877300        0.02877809        0.00369243
       -4.57083640        0.26578005        0.00413355        0.25228265        0.00828189        0.00108197
       -4.56082639        0.29000782        0.00370091        0.27756594        0.00769181        0.00104915
       -4.55081638        0.31427137        0.00323186        0.30299780        0.00702916        0.00101255
       -4.54080637        0.33857071        0.00272638        0.32857823        0.00629392        0.00097218
       -4.53079636        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.52078635        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.51077634        1.07235573        0.04958997        0.97710377        0.03902292        0.00663907
       -4.50076633        0.67451479        0.03317451        0.61139205        0.02636964        0.00357859
       -4.49075632        0.08506081        0.00378570        0.07690619        0.00379363        0.00057529
       -4.48074631        0.10042044        0.00417095        0.09132737        0.00426406        0.00065806
       -4.47073630        0.19042281        0.00766435        0.17477498        0.00685532        0.00112817
       -4.46072629        0.25070346        0.00866775        0.23270292        0.00796200        0.00137078
       -4.45071628        0.31778733        0.00904777        0.29834858        0.00879675        0.00159423
       -4.44070627        0.46390703        0.00980829        0.44158569        0.01052992        0.00198313
       -4.43069626        0.56987823        0.00968920        0.54658896        0.01141444        0.00218563
       -4.42068625        0.49484899        0.00910311        0.47316688        0.01059609        0.00198291
       -4.41067624        0.44416122        0.00865607        0.42365558        0.01001492        0.00183464
       -4.40066623        0.39599980        0.00811907        0.37684369        0.00936099        0.00167604
       -4.39065622        0.41478725        0.01248386        0.38921599        0.01114376        0.00194363
       -4.38064621        0.37772166        0.01220553        0.35314901        0.01056010        0.00180701
       -4.37063620        0.34337044        0.01176074        0.31992774        0.01000837        0.00167360
       -4.36062619        0.31054837        0.01113654        0.28850845        0.00937694        0.00152645
       -4.35061618        0.28973874        0.01090946        0.26807980        0.00926905        0.00148043
       -4.34060617        0.56224801        0.02809116        0.50800075        0.02262396        0.00353214
       -4.33059616        0.56058479        0.02878727        0.50650814        0.02173283        0.00355655
       -4.32058615        0.54062738        0.02800173        0.48851736        0.02063586        0.00347242
       -4.31057614        0.63177912        0.03256807        0.57085851        0.02426403        0.00408852
       -4.30056613        0.59678105        0.02858981        0.54139417        0.02295445        0.00384262
       -4.29055612        0.56572400        0.02514695        0.51520568        0.02177324        0.00359812
       -4.28054611        0.36137127        0.01699368        0.32799027        0.01403173        0.00235558
       -4.27053610        0.33840589        0.01445683        0.30852407        0.01323827        0.00218672
       -4.26052609        0.30566481        0.01227910        0.27909593        0.01230963        0.00198016
       -4.25051608        0.26489346        0.01031631        0.24173502        0.01110802        0.00173411
       -4.24050607        0.25253980        0.00969564        0.22962163        0.01153448        0.00168805
       -4.23049606        0.22154975        0.00806732        0.20124227        0.01075539        0.00148477
       -4.22048605        1.50570132        0.05305504        1.37276877        0.07033461        0.00954290
       -4.21047604        0.59416279        0.01538748        0.54855157        0.02688523        0.00333851
       -4.20046603        0.50383338        0.01387220        0.46356387        0.02342816        0.00296916
       -4.19045602        0.78323138        0.01869080        0.72421819        0.03595980        0.00436259
       -4.18044601        0.69746246        0.01643275        0.64610507        0.03122841        0.00369623
       -4.17043600        0.56392329        0.01244192        0.52445844        0.02432163        0.00270131
       -4.16042599        0.50870591        0.01168719        0.47345476        0.02115071        0.00241325
       -4.15041598        0.79409241        0.01808203        0.73314294        0.03753954        0.00532790
       -4.14040597        0.91469039        0.01962417        0.84722547        0.04224852        0.00559222
       -4.13039596        0.84366135        0.01722675        0.78551341        0.03613322        0.00478797
       -4.12038595        1.08272811        0.02232483        1.00683912        0.04752829        0.00603587
       -4.11037594        0.84500454        0.01546776        0.79255475        0.03262069        0.00436133
       -4.10036593        0.86517791        0.01836411        0.80420340        0.03745175        0.00515865
       -4.09035592        0.87353071        0.02050100        0.81872900        0.03030794        0.00399276
       -4.08034591        0.62943412        0.00927144        0.60069912        0.01708796        0.00237560
       -4.07033590        0.55910242        0.00985761        0.52605815        0.02065817        0.00252849
       -4.06032589        0.20688473        0.00354426        0.19214926        0.01013948        0.00105173
       -4.05031588        0.25990552        0.00434955        0.24139301        0.01271612        0.00144684
       -4.04030587        0.68882667        0.01336554        0.63897673        0.03160615        0.00487824
       -4.03029586        0.46321917        0.01236312        0.42475048        0.02270758        0.00339799
       -4.02028585        0.35312499        0.00712544        0.32554622        0.01816375        0.00228958
       -4.01027584        0.82666578        0.02235458        0.76797944        0.03118150        0.00515027
       -4.00026583        0.57448356        0.01394176        0.53434044        0.02274726        0.00345410
       -3.99025582        1.03494018        0.03043225        0.95458112        0.04350801        0.00641880
       -3.98024581        0.83726818        0.02379644        0.77285355        0.03506063        0.00555756
       -3.97023580        0.99164956        0.02774499        0.91342677        0.04405063        0.00642717
       -3.96022579        0.88155305        0.02103060        0.81629972        0.03856100        0.00566173
       -3.95021578        0.74814010        0.01679868        0.69314226        0.03320130        0.00499786
       -3.94020577        2.15102203        0.04999406        1.99076206        0.09841190        0.01185402
       -3.93019576        0.59879147        0.01288557        0.55280345        0.02867839        0.00442406
       -3.92018575        0.64522244        0.01420140        0.60116158        0.02577110        0.00408836
       -3.91017574        0.95985432        0.02994589        0.88252579        0.04069031        0.00669232
       -3.90016573        2.72170139        0.04439229        2.52913116        0.13133303        0.01684491
       -3.89015572        1.00958881        0.03069812        0.92357527        0.04790997        0.00740546
       -3.88014571        0.68111837        0.02327628        0.62086514        0.03143993        0.00553703
       -3.87013570        0.83685082        0.02361951        0.76765462        0.03883807        0.00673862
       -3.86012569        0.90247240        0.02784575        0.82756269        0.03889728        0.00816667
       -3.85011568        0.67314925        0.02206248        0.61520565        0.02895256        0.00692856
       -3.84010567        0.53770689        0.01662169        0.49306729        0.02270264        0.00531527
       -3.83009566        0.51706144        0.01503100        0.47764156        0.01964800        0.00474088
       -3.82008565        0.47627090        0.01488837        0.43794665        0.01902185        0.00441402
       -3.81007564        0.47616098        0.01643037        0.43402668        0.02107049        0.00463344
       -3.80006563        0.49375122        0.01665214        0.44725401        0.02508972        0.00475535
       -3.79005562        0.41485758        0.01348247        0.37574800        0.02165589        0.00397122
       -3.78004561        0.47673823        0.01537346        0.42897339        0.02772051        0.00467087
