Atoms:  2  Mode #:  1 Freq: -0.8361421701244328 cm-1,Mass weighted displacment dq is: 
 [-0.6314696  -0.31646991  0.02607796 -0.63099497 -0.31909243  0.02093436]
Atoms:  2  Mode #:  2 Freq: -0.28049919804281764 cm-1,Mass weighted displacment dq is: 
 [ 0.29404888 -0.60288866 -0.22350623  0.2959097  -0.60207152 -0.22372486]
Atoms:  2  Mode #:  3 Freq: -0.03910476357139684 cm-1,Mass weighted displacment dq is: 
 [ 0.12046579 -0.18970125  0.67034949  0.12058302 -0.18993242  0.67046133]
Atoms:  2  Mode #:  4 Freq: 193.39079937897012 cm-1,Mass weighted displacment dq is: 
 [-0.53189274  0.46570067  0.01475496  0.53344359 -0.46391251 -0.01477843]
Atoms:  2  Mode #:  5 Freq: 194.04393523440987 cm-1,Mass weighted displacment dq is: 
 [ 0.4660823   0.53234326  0.00283812 -0.4638259  -0.5331254  -0.00356708]
Atoms:  2  Mode #:  6 Freq: 207.10665377554662 cm-1,Mass weighted displacment dq is: 
 [-0.01126012  0.01090975 -0.70694463  0.00678213 -0.01334437  0.70693664]
