             x                    y
         -4.59985921         71.78187975
         -4.58984920         82.27004817
         -4.57983919         93.19896338
         -4.56982918        102.80754748
         -4.55981917        109.15828592
         -4.54980916        111.22909915
         -4.53979915        109.63442764
         -4.52978914        106.50134760
         -4.51977913        104.55558385
         -4.50976912        105.96545045
         -4.49975911        111.60065290
         -4.48974910        121.01618803
         -4.47973909        132.95875428
         -4.46972908        145.93113123
         -4.45971907        158.49742495
         -4.44970906        169.33993140
         -4.43969905        177.25644580
         -4.42968904        181.23174728
         -4.41967903        180.59168131
         -4.40966902        175.19081374
         -4.39965901        165.56754374
         -4.38964900        152.96370514
         -4.37963899        139.10375113
         -4.36962898        125.75159222
         -4.35961897        114.24868465
         -4.34960896        105.28021479
         -4.33959895         98.92623885
         -4.32958894         94.82420947
         -4.31957893         92.27003507
         -4.30956892         90.30376327
         -4.29955890         87.94867316
         -4.28954889         84.59296850
         -4.27953888         80.22937426
         -4.26952887         75.28382685
         -4.25951886         70.13187892
         -4.24950885         64.74287584
         -4.23949884         58.81253723
         -4.22948883         52.28795737
         -4.21947882         45.80133485
         -4.20946881         40.58505177
         -4.19945880         37.86862181
         -4.18944879         38.15378490
         -4.17943878         40.82422753
         -4.16942877         44.30946556
         -4.15941876         46.71517639
         -4.14940875         46.61451925
         -4.13939874         43.61878671
         -4.12938873         38.44760901
         -4.11937872         32.49574253
         -4.10936871         27.19516618
         -4.09935870         23.55936097
         -4.08934869         22.08631765
         -4.07933868         22.88311246
         -4.06932867         25.75020969
         -4.05931866         30.12082931
         -4.04930865         35.00287418
         -4.03929864         39.15220233
         -4.02928863         41.52494740
         -4.01927862         41.77049090
         -4.00926861         40.40171921
         -3.99925860         38.46078364
         -3.98924859         36.87033461
         -3.97923858         35.91957927
         -3.96922857         35.24845996
         -3.95921856         34.31418624
         -3.94920855         32.95656658
         -3.93919854         31.61923662
         -3.92918853         31.07501927
         -3.91917852         31.90556134
         -3.90916851         34.17633409
         -3.89915850         37.57865302
         -3.88914849         41.91774067
         -3.87913848         47.52728104
         -3.86912847         55.23420828
         -3.85911846         65.85451362
         -3.84910845         79.57923981
         -3.83909844         95.69818783
         -3.82908843        112.85008527
         -3.81907842        129.61549534
         -3.80906841        145.07088079
         -3.79905840        158.99392440
