   x           y           z
 -20.000  0.2603E-82  0.7808E-84
 -19.970  0.2603E-82  0.1562E-83
 -19.940  0.2603E-82  0.2342E-83
 -19.910  0.2603E-82  0.3123E-83
 -19.880  0.2603E-82  0.3904E-83
 -19.850  0.2603E-82  0.4685E-83
 -19.820  0.2603E-82  0.5465E-83
 -19.790  0.2603E-82  0.6246E-83
 -19.760  0.2603E-82  0.7027E-83
 -19.730  0.2603E-82  0.7808E-83
 -19.700  0.2603E-82  0.8589E-83
 -19.670  0.2603E-82  0.9369E-83
 -19.640  0.2603E-82  0.1015E-82
 -19.610  0.2603E-82  0.1093E-82
 -19.580  0.2603E-82  0.1171E-82
 -19.550  0.2603E-82  0.1249E-82
 -19.520  0.2603E-82  0.1327E-82
 -19.490  0.2603E-82  0.1405E-82
 -19.460  0.2603E-82  0.1483E-82
 -19.430  0.2603E-82  0.1562E-82
 -19.400  0.2603E-82  0.1640E-82
 -19.370  0.2603E-82  0.1718E-82
 -19.340  0.2603E-82  0.1796E-82
 -19.310  0.2603E-82  0.1874E-82
 -19.280  0.2603E-82  0.1952E-82
 -19.250  0.2603E-82  0.2030E-82
 -19.220  0.2603E-82  0.2108E-82
 -19.190  0.2603E-82  0.2186E-82
 -19.160  0.2603E-82  0.2264E-82
 -19.130  0.2603E-82  0.2342E-82
 -19.100  0.2603E-82  0.2420E-82
 -19.070  0.2603E-82  0.2498E-82
 -19.040  0.2603E-82  0.2577E-82
 -19.010  0.2603E-82  0.2655E-82
 -18.980  0.2603E-82  0.2733E-82
 -18.950  0.2603E-82  0.2811E-82
 -18.920  0.2603E-82  0.2889E-82
 -18.890  0.2603E-82  0.2967E-82
 -18.860  0.2603E-82  0.3045E-82
 -18.830  0.2603E-82  0.3123E-82
 -18.800  0.2603E-82  0.3201E-82
 -18.770  0.2603E-82  0.3279E-82
 -18.740  0.2603E-82  0.3357E-82
 -18.710  0.2603E-82  0.3435E-82
 -18.680  0.2603E-82  0.3514E-82
 -18.650  0.2603E-82  0.3592E-82
 -18.620  0.2603E-82  0.3670E-82
 -18.590  0.2603E-82  0.3748E-82
 -18.560  0.2603E-82  0.3826E-82
 -18.530  0.2603E-82  0.3904E-82
 -18.500  0.2603E-82  0.3982E-82
 -18.470  0.2603E-82  0.4060E-82
 -18.440  0.2603E-82  0.4138E-82
 -18.410  0.2603E-82  0.4216E-82
 -18.380  0.2603E-82  0.4294E-82
 -18.350  0.2603E-82  0.4372E-82
 -18.320  0.2603E-82  0.4450E-82
 -18.290  0.2603E-82  0.4529E-82
 -18.260  0.2603E-82  0.4607E-82
 -18.230  0.2603E-82  0.4685E-82
 -18.200  0.2603E-82  0.4763E-82
 -18.170  0.2603E-82  0.4841E-82
 -18.140  0.2603E-82  0.4919E-82
 -18.110  0.2603E-82  0.4997E-82
 -18.080  0.2603E-82  0.5075E-82
 -18.050  0.2603E-82  0.5153E-82
 -18.020  0.2603E-82  0.5231E-82
 -17.990  0.2603E-82  0.5309E-82
 -17.960  0.2603E-82  0.5387E-82
 -17.930  0.2603E-82  0.5465E-82
 -17.900  0.2603E-82  0.5544E-82
 -17.870  0.2603E-82  0.5622E-82
 -17.840  0.2603E-82  0.5700E-82
 -17.810  0.2603E-82  0.5778E-82
 -17.780  0.2603E-82  0.5856E-82
 -17.750  0.2603E-82  0.5934E-82
 -17.720  0.2603E-82  0.6012E-82
 -17.690  0.2603E-82  0.6090E-82
 -17.660  0.2603E-82  0.6168E-82
 -17.630  0.2603E-82  0.6246E-82
 -17.600  0.2603E-82  0.6324E-82
 -17.570  0.2603E-82  0.6402E-82
 -17.540  0.2603E-82  0.6480E-82
 -17.510  0.2603E-82  0.6559E-82
 -17.480  0.2603E-82  0.6637E-82
 -17.450  0.2603E-82  0.6715E-82
 -17.420  0.2603E-82  0.6793E-82
 -17.390  0.2603E-82  0.6871E-82
 -17.360  0.2603E-82  0.6949E-82
 -17.330  0.2603E-82  0.7027E-82
 -17.300  0.2603E-82  0.7105E-82
 -17.270  0.2603E-82  0.7183E-82
 -17.240  0.2603E-82  0.7261E-82
 -17.210  0.2603E-82  0.7339E-82
 -17.180  0.2603E-82  0.7417E-82
 -17.150  0.2603E-82  0.7495E-82
 -17.120  0.2603E-82  0.7574E-82
 -17.090  0.2603E-82  0.7652E-82
 -17.060  0.2603E-82  0.7730E-82
 -17.030  0.2603E-82  0.7808E-82
 -17.000  0.2603E-82  0.7886E-82
 -16.970  0.2603E-82  0.7964E-82
 -16.940  0.2603E-82  0.8042E-82
 -16.910  0.2603E-82  0.8120E-82
 -16.880  0.2603E-82  0.8198E-82
 -16.850  0.2603E-82  0.8276E-82
 -16.820  0.2603E-82  0.8354E-82
 -16.790  0.2603E-82  0.8432E-82
 -16.760  0.2603E-82  0.8511E-82
 -16.730  0.2603E-82  0.8589E-82
 -16.700  0.2603E-82  0.8667E-82
 -16.670  0.2603E-82  0.8745E-82
 -16.640  0.2603E-82  0.8823E-82
 -16.610  0.2603E-82  0.8901E-82
 -16.580  0.2603E-82  0.8979E-82
 -16.550  0.2603E-82  0.9057E-82
 -16.520  0.2603E-82  0.9135E-82
 -16.490  0.2603E-82  0.9213E-82
 -16.460  0.2603E-82  0.9291E-82
 -16.430  0.2603E-82  0.9369E-82
 -16.400  0.2603E-82  0.9447E-82
 -16.370  0.2603E-82  0.9526E-82
 -16.340  0.2603E-82  0.9604E-82
 -16.310  0.2603E-82  0.9682E-82
 -16.280  0.2603E-82  0.9760E-82
 -16.250  0.2603E-82  0.9838E-82
 -16.220  0.2603E-82  0.9916E-82
 -16.190  0.2603E-82  0.9994E-82
 -16.160  0.2603E-82  0.1007E-81
 -16.130  0.2603E-82  0.1015E-81
 -16.100  0.2603E-82  0.1023E-81
 -16.070  0.2603E-82  0.1031E-81
 -16.040  0.2603E-82  0.1038E-81
 -16.010  0.2603E-82  0.1046E-81
 -15.980  0.2603E-82  0.1054E-81
 -15.950  0.2603E-82  0.1062E-81
 -15.920  0.2603E-82  0.1070E-81
 -15.890  0.2603E-82  0.1077E-81
 -15.860  0.2603E-82  0.1085E-81
 -15.830  0.2603E-82  0.1093E-81
 -15.800  0.2603E-82  0.1101E-81
 -15.770  0.2603E-82  0.1109E-81
 -15.740  0.2603E-82  0.1117E-81
 -15.710  0.2603E-82  0.1124E-81
 -15.680  0.2603E-82  0.1132E-81
 -15.650  0.2603E-82  0.1140E-81
 -15.620  0.2603E-82  0.1148E-81
 -15.590  0.2603E-82  0.1156E-81
 -15.560  0.2603E-82  0.1163E-81
 -15.530  0.2603E-82  0.1171E-81
 -15.500  0.2603E-82  0.1179E-81
 -15.470  0.2603E-82  0.1187E-81
 -15.440  0.2603E-82  0.1195E-81
 -15.410  0.2603E-82  0.1202E-81
 -15.380  0.2603E-82  0.1210E-81
 -15.350  0.2603E-82  0.1218E-81
 -15.320  0.2603E-82  0.1226E-81
 -15.290  0.2603E-82  0.1234E-81
 -15.260  0.2603E-82  0.1241E-81
 -15.230  0.2603E-82  0.1249E-81
 -15.200  0.2603E-82  0.1257E-81
 -15.170  0.2603E-82  0.1265E-81
 -15.140  0.2603E-82  0.1273E-81
 -15.110  0.2603E-82  0.1280E-81
 -15.080  0.2603E-82  0.1288E-81
 -15.050  0.2603E-82  0.1296E-81
 -15.020  0.2603E-82  0.1304E-81
 -14.990  0.2603E-82  0.1312E-81
 -14.960  0.2603E-82  0.1320E-81
 -14.930  0.2603E-82  0.1327E-81
 -14.900  0.2603E-82  0.1335E-81
 -14.870  0.2603E-82  0.1343E-81
 -14.840  0.2603E-82  0.1351E-81
 -14.810  0.2603E-82  0.1359E-81
 -14.780  0.2603E-82  0.1366E-81
 -14.750  0.2603E-82  0.1374E-81
 -14.720  0.2603E-82  0.1382E-81
 -14.690  0.5615E-82  0.1399E-81
 -14.660  0.1225E-70  0.3676E-72
 -14.630  0.6741E-60  0.2022E-61
 -14.600  0.5020E-50  0.1506E-51
 -14.570  0.5059E-41  0.1518E-42
 -14.540  0.6900E-33  0.2070E-34
 -14.510  0.1274E-25  0.3821E-27
 -14.480  0.3182E-19  0.9545E-21
