# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
         -8.03803804         23.07350093
         -8.02802803         46.30837070
         -8.01801802         52.26221590
         -8.00800801         61.27100757
         -7.99799800         87.98536466
         -7.98798799        149.85976890
         -7.97797798         99.42639983
         -7.96796797         83.68420684
         -7.95795796        100.64869351
         -7.94794795         90.44779189
         -7.93793794         79.16961769
         -7.92792793         78.83935655
         -7.91791792         83.44354575
         -7.90790791         80.80934264
         -7.89789790        100.28541978
         -7.88788789         93.45483387
         -7.87787788         97.00110230
         -7.86786787         75.86370923
         -7.85785786         91.10091862
         -7.84784785         79.86320355
         -7.83783784         73.15615539
         -7.82782783         66.91780611
         -7.81781782         69.22705288
         -7.80780781         84.06390093
         -7.79779780         77.07281956
         -7.78778779         70.08173819
         -7.77777778         76.66573988
         -7.76776777         83.71563761
         -7.75775776         83.55728378
         -7.74774775         59.42725807
         -7.73773774        201.28499055
         -7.72772773         78.22301778
         -7.71771772         88.16064592
         -7.70770771         61.61946409
         -7.69769770         51.96023094
         -7.68768769         24.21927402
         -7.67767768          0.00000000
         -7.66766767         65.03426886
         -7.65765766         93.03800426
         -7.64764765         90.11342745
         -7.63763764         55.02805957
         -7.62762763         36.11550951
         -7.61761762         36.97299790
         -7.60760761         71.21700525
         -7.59759760         47.20446613
         -7.58758759         54.50400229
         -7.57757758         57.33697595
         -7.56756757         31.18084856
         -7.55755756         55.18126244
         -7.54754755         61.40922187
         -7.53753754         52.33674942
         -7.52752753         64.39195374
         -7.51751752         61.61942399
         -7.50750751         60.24421245
         -7.49749750         60.41230389
         -7.48748749         49.08439679
         -7.47747748         38.88975045
         -7.46746747         35.19477939
         -7.45745746         41.49649560
         -7.44744745         42.92244371
         -7.43743744         50.20849035
         -7.42742743         43.58268658
         -7.41741742         45.74611853
         -7.40740741         47.90955048
         -7.39739740         41.92708311
         -7.38738739         57.20122224
         -7.37737738         74.89577980
         -7.36736737         68.19532266
         -7.35735736         77.23088773
         -7.34734735         77.58570323
         -7.33733734         62.52378896
         -7.32732733         54.02245630
         -7.31731732         50.86033316
         -7.30730731         39.69902884
         -7.29729730         38.53589884
         -7.28728729         32.78017118
         -7.27727728         24.70931925
         -7.26726727         44.05251304
         -7.25725726         40.69249284
         -7.24724725         38.22888790
         -7.23723724         55.13180496
         -7.22722723         43.28315102
         -7.21721722         35.76173031
         -7.20720721         38.39539545
         -7.19719720         30.76773571
         -7.18718719        114.02031920
         -7.17717718        239.47048486
         -7.16716717         21.41081978
         -7.15715716        280.38501937
         -7.14714715         36.93192768
         -7.13713714          0.00000000
         -7.12712713         88.70287774
         -7.11711712         48.45145850
         -7.10710711         54.46813725
         -7.09709710         74.11319491
         -7.08708709         58.85819022
         -7.07707708        114.14024193
         -7.06706707         71.89665140
         -7.05705706         52.18040137
         -7.04704705         27.76073777
         -7.03703704         17.77283616
         -7.02702703         13.61139430
         -7.01701702         59.13217886
         -7.00700701         26.20866758
         -6.99699700         27.89224898
         -6.98698699         27.96095232
         -6.97697698         18.33407310
         -6.96696697         93.26110211
         -6.95695696         39.07509720
         -6.94694695         31.37256924
         -6.93693694          8.78238519
         -6.92692693         11.99971329
         -6.91691692         15.21704140
         -6.90690691         18.43436950
         -6.89689690         96.83519163
         -6.88688689         15.86044859
         -6.87687688         10.95362887
         -6.86686687        118.17095591
         -6.85685686         58.15147911
         -6.84684685         34.68736724
         -6.83683684         24.33446954
         -6.82682683          4.76609275
         -6.81681682         21.17651424
         -6.80680681         48.23070239
         -6.79679680         41.00471336
         -6.78678679         33.77872432
